	GSM2345472	GSM2345460	GSM2345464	GSM2345473	GSM2345470	GSM2345461	GSM2345466	GSM2345463	GSM2345469	GSM2345471	GSM2345462	GSM2345465	GSM2345468	GSM2345467	GSM2345459
Tha1	224	114	85	96	114	69	119	88	155	55	256	106	244	178	118
Thada	395	690	383	320	246	474	772	394	711	210	279	702	528	255	506
Thap1	147	162	138	111	89	94	167	105	196	86	129	160	157	108	206
Thap11	521	411	299	226	410	324	432	370	460	181	416	377	597	390	468
Thap2	105	182	56	108	52	76	130	44	186	124	192	91	77	61	187
Thap3	231	105	158	74	208	73	132	107	167	69	32	143	255	204	115
Thap4	440	247	359	158	327	260	326	276	351	156	256	339	489	384	328
Thap6	106	230	105	119	47	123	169	154	189	105	176	159	92	53	209
Thap7	434	177	200	145	285	104	209	139	211	113	192	188	379	334	207
Thap8	2	8	3	2	1	4	7	3	2	2	4	7	4	2	3
Thbd	62	24	46	25	45	33	62	18	76	17	83	37	76	59	25
Thbs1	21	170	204	48	51	260	185	226	277	23	149	214	160	59	127
Thbs2	0	3	20	0	2	24	16	8	7	0	8	9	15	1	4
Thbs3	158	310	413	85	176	355	421	424	314	116	242	480	379	282	207
Thbs4	1	2	2	0	3	4	2	4	0	0	4	3	1	3	2
Theg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thegl	0	1	1	0	3	1	0	2	0	0	1	1	0	2	0
Them4	73	70	59	44	41	57	67	61	84	27	75	84	76	53	66
Them5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Them6	258	71	137	89	175	56	136	64	129	79	82	86	230	186	77
Them7	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0
Themis	1	6	1	0	0	0	0	3	0	0	2	1	0	1	0
Themis2	1	2	0	4	0	0	0	0	3	1	4	4	5	1	4
Themis3	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0
Thg1l	142	94	56	43	65	69	83	83	111	42	89	64	135	61	95
Thnsl1	277	211	119	187	118	150	203	133	342	173	247	210	170	108	224
Thnsl2	211	62	131	78	111	83	123	70	156	50	30	134	210	119	73
Thoc1	182	429	181	220	91	241	285	272	327	197	247	319	165	98	317
Thoc2	161	1341	224	482	84	486	857	712	481	452	581	1004	139	122	1032
Thoc3	613	497	682	259	380	462	657	548	532	180	357	632	614	376	523
Thoc5	522	327	409	201	344	316	452	319	473	165	244	409	527	375	404
Thoc6	174	140	154	68	176	111	154	82	143	47	98	113	217	165	142
Thoc7	392	699	546	236	237	432	604	525	587	214	306	676	413	245	647
Thop1	406	383	469	139	339	268	442	287	483	147	258	325	709	463	408
Thpo	5	5	2	2	0	3	6	5	1	1	2	11	2	1	1
Thra	825	522	665	377	698	642	759	813	908	379	306	780	1071	761	492
Thrap3	1768	3152	2063	1528	933	1596	3015	2158	2419	1153	1690	3057	1686	935	2522
Thrb	60	65	33	99	21	60	86	44	122	53	157	106	42	15	58
Thrsp	10	6	4	8	11	0	3	2	10	1	3	2	5	3	0
Thsd1	1	3	6	1	5	9	2	5	9	3	1	7	11	9	2
Thsd4	295	811	318	183	168	659	529	858	649	180	446	537	379	204	802
Thsd7a	0	18	10	4	1	9	10	7	19	8	60	17	6	4	7
Thsd7b	0	6	0	2	1	1	2	1	0	2	0	2	0	1	1
Thtpa	950	554	546	409	582	417	662	447	734	304	413	545	830	612	596
Thumpd1	455	621	520	337	288	513	624	647	682	250	619	654	518	372	652
Thumpd2	40	49	37	28	20	19	37	25	71	27	40	33	35	30	32
Thumpd3	310	340	214	222	166	258	298	254	364	153	381	293	255	172	377
Thy1	1	0	6	0	2	4	5	1	17	2	8	6	13	7	0
Thyn1	193	161	147	62	131	135	159	121	188	54	163	126	204	127	194
Tia1	268	1312	309	346	132	484	747	695	513	318	346	789	216	145	646
Tial1	567	1281	616	477	305	558	927	761	787	444	658	984	516	381	915
Tiam1	34	247	69	48	13	79	121	98	105	28	90	111	55	12	182
Tiam2	11	33	10	11	3	9	13	18	15	7	9	15	16	5	27
Ticam1	482	551	598	217	300	315	530	392	375	166	239	460	475	334	493
Ticam2	2	10	0	1	1	3	3	3	5	1	1	2	2	2	3
Ticrr	15	182	44	14	11	32	105	43	29	10	14	86	27	10	139
Tie1	2	15	62	7	27	39	57	8	50	2	13	15	59	36	3
Tifa	144	166	455	83	124	284	368	295	241	77	151	510	140	121	166
Tifab	0	3	0	5	9	2	7	1	11	3	2	5	17	3	6
Tigar	662	384	349	339	340	272	420	243	575	273	289	263	571	362	419
Tigd2	155	287	147	153	56	198	269	251	308	159	105	318	97	79	237
Tigd3	12	25	15	9	7	13	28	13	21	16	4	26	13	16	21
Tigd4	0	5	1	0	0	1	1	1	2	2	0	1	0	0	1
Tigd5	24	49	20	17	16	27	20	36	32	6	48	22	48	26	35
Tigit	0	6	0	2	1	1	2	9	2	3	0	0	0	0	3
Timd2	0	1	0	0	0	0	3	0	0	1	1	7	0	0	0
Timd4	0	1	0	4	1	0	9	0	1	1	1	23	0	1	8
Timeless	82	232	123	49	48	77	176	44	94	65	36	181	80	35	141
Timm10	87	47	64	28	76	55	44	66	80	22	91	42	145	89	62
Timm10b	548	330	362	227	433	228	377	269	336	130	216	299	585	484	341
Timm13	975	604	775	282	979	453	664	457	678	257	329	520	1192	1196	678
Timm17a	673	609	605	362	427	441	663	516	705	268	486	586	650	410	621
Timm17b	617	455	667	246	623	420	606	359	593	215	208	557	835	661	496
Timm21	80	111	41	53	39	61	68	61	99	27	64	74	65	22	108
Timm22	384	209	331	127	252	178	293	164	290	106	153	281	387	284	238
Timm23	829	605	1051	452	435	497	834	747	701	304	443	859	1076	721	770
Timm44	416	385	378	196	239	277	407	374	392	162	277	398	385	258	349
Timm50	490	299	432	161	448	246	378	296	333	134	246	390	539	473	338
Timm8a1	82	61	112	26	36	51	56	56	72	26	107	92	56	46	72
Timm8a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm8b	278	239	201	106	219	144	176	204	213	109	190	194	292	240	270
Timm9	142	111	93	63	89	85	109	83	164	61	114	124	154	71	119
Timmdc1	286	311	244	145	227	189	265	191	264	115	194	247	285	198	337
Timp1	0	7	5	0	1	2	1	5	1	3	48	3	3	1	4
Timp2	206	174	194	83	106	175	199	232	221	90	209	211	293	109	147
Timp3	13	32	59	14	13	78	60	60	103	4	115	50	55	29	17
