	GSM2517014	GSM2517015	GSM2517016	GSM2517017	GSM2517018	GSM2517019	GSM2517020	GSM2517021	GSM2517022	GSM2517023	GSM2517024	GSM2517025
Foxm1	45	28	35	18	40	79	43	59	21	38	21	34
Foxn1	11	8	9	2	2	13	8	9	10	14	17	22
Foxn2	210	212	244	154	388	357	176	203	185	260	154	165
Foxn3	426	475	411	216	646	467	310	302	304	350	261	315
Foxn4	0	0	0	0	0	0	0	0	0	0	0	0
Foxo1	811	1125	941	478	816	734	663	706	687	657	612	655
Foxo3	947	597	643	312	435	538	435	535	483	463	448	608
Foxo4	168	63	60	40	358	240	200	319	178	166	126	237
Foxo6	109	185	167	87	26	34	82	123	108	92	82	135
Foxo6os	0	2	1	0	0	2	1	1	0	6	3	6
Foxp1	912	1323	1174	597	889	799	534	743	594	628	463	665
Foxp2	120	76	64	44	72	252	155	143	149	228	201	140
Foxp3	7	2	2	1	17	49	4	11	6	8	11	6
Foxp4	926	816	607	381	364	850	809	1519	747	1084	1014	977
Foxq1	7	20	6	11	0	0	1	0	0	0	0	0
Foxr1	3	2	0	2	1	2	1	4	2	1	3	1
Foxr2	2	4	3	4	0	7	1	3	1	2	0	1
Foxred1	206	240	182	103	354	462	357	530	239	519	279	337
Foxred2	277	286	241	163	217	382	448	524	365	522	396	527
Foxs1	4	12	6	2	28	5	7	22	7	4	3	13
Fpgs	176	319	277	166	182	376	324	456	238	441	303	228
Fpgt	479	363	306	174	411	469	328	303	383	451	226	281
Fpr-rs3	0	0	0	0	0	0	0	0	0	0	0	0
Fpr-rs4	0	0	0	0	0	0	0	0	0	0	0	0
Fpr-rs5	0	0	0	0	0	0	0	0	0	0	0	0
Fpr-rs6	0	0	0	0	0	0	0	0	0	0	0	0
Fpr-rs7	0	0	0	0	0	0	0	0	0	0	0	0
Fpr1	0	0	1	0	27	3	0	6	6	2	0	0
Fpr2	0	2	0	0	45	11	6	5	14	7	0	1
Fpr3	0	0	0	0	0	0	0	0	0	0	0	0
Fra10ac1	197	52	46	31	224	296	236	306	231	276	213	199
Fras1	330	324	261	122	93	336	243	285	478	501	375	277
Frat1	12	11	8	9	26	9	10	9	3	0	3	1
Frat2	22	9	6	6	15	13	3	5	2	5	1	1
Frem1	2	3	2	2	4	5	5	19	0	7	5	7
Frem2	26	5	9	3	31	62	58	74	31	49	48	43
Frem3	0	0	0	0	0	0	0	0	0	0	0	0
Frg1	142	179	132	61	305	159	140	232	126	158	129	184
