gene_symbol	GSM1151233	GSM1151236	GSM1151243	GSM1151239	GSM1151232	GSM1151241	GSM1151237	GSM1151240	GSM1151244	GSM1151242	GSM1151235	GSM1151238	GSM1151234	GSM1151245
1500015O10Rik	5.7890625	5.76953125	5.77734375	5.5078125	5.77734375	5.59765625	6.25	5.3828125	5.58203125	5.56640625	6.48046875	6.09375	5.890625	5.58203125
1500035N22Rik	5.2578125	5.08984375	5.1015625	4.99609375	5.0546875	5.25	5.29296875	5.16796875	5.0	5.3671875	5.125	5.2265625	5.0078125	5.3046875
1520401A03Rik	6.1640625	5.90234375	5.68359375	5.57421875	5.53125	5.84765625	5.99609375	5.71875	5.6484375	6.25	5.84375	5.98046875	5.80078125	5.48046875
1600002H07Rik	6.57421875	6.57421875	6.4296875	6.55078125	6.60546875	6.61328125	6.71484375	6.41015625	6.42578125	6.5625	6.6015625	6.56640625	6.71484375	6.55078125
1600002K03Rik	6.51953125	6.44140625	6.3984375	6.26171875	6.21484375	6.359375	6.359375	6.4765625	6.27734375	6.59765625	6.48046875	6.37109375	6.26953125	6.26171875
1600012H06Rik	8.3671875	7.98046875	7.95703125	7.91015625	8.3828125	7.97265625	8.078125	8.1875	7.97265625	8.015625	8.0390625	8.0234375	8.3359375	8.0078125
1600012P17Rik	5.12109375	5.07421875	5.05859375	4.8671875	5.046875	4.93359375	4.95703125	4.8671875	4.85546875	5.0546875	5.1015625	5.2109375	4.859375	5.0390625
1600014C10Rik	6.5390625	6.57421875	6.5625	6.39453125	6.546875	6.59765625	6.49609375	6.640625	6.4140625	6.52734375	6.56640625	6.66796875	6.40234375	7.2890625
1600014C23Rik	4.56640625	4.5234375	4.421875	4.37890625	4.35546875	4.39453125	4.3828125	4.3125	4.640625	4.76953125	4.40234375	4.37890625	4.46875	4.2265625
1600015I10Rik	3.73828125	3.7265625	3.6875	3.767578125	3.41796875	3.7109375	3.85546875	3.708984375	3.810546875	3.74609375	3.7421875	3.783203125	3.51953125	3.736328125
1600017P15Rik	6.78125	6.4296875	6.3671875	6.49609375	6.1953125	6.5859375	6.6171875	6.66015625	6.52734375	7.01953125	6.7109375	6.953125	6.30859375	6.4375
1600029O15Rik	9.19140625	8.75	9.064453125	8.92578125	9.021484375	8.89453125	9.107421875	9.248046875	8.83984375	9.21875	8.873046875	9.07421875	8.970703125	8.904296875
1700001C02Rik	5.421875	5.3125	5.25390625	5.3203125	5.02734375	5.43359375	5.46875	5.23046875	5.046875	5.36328125	5.3046875	5.546875	5.3359375	5.2265625
1700001C19Rik	5.15625	5.203125	5.0859375	5.2890625	4.9375	4.91796875	5.2578125	5.30078125	4.9609375	5.25390625	5.421875	5.24609375	5.03515625	5.0625
1700001G17Rik	6.37890625	6.44140625	6.38671875	6.3359375	6.40625	6.44140625	6.4765625	6.05859375	6.21875	6.39453125	6.453125	6.375	6.21484375	6.15625
1700001J03Rik	5.81640625	6.02734375	5.77734375	5.94140625	5.953125	5.81640625	5.83984375	5.4375	5.6328125	5.81640625	6.01953125	5.84765625	5.7578125	5.84765625
1700001J11Rik	4.85546875	4.4453125	4.99609375	4.28515625	4.60546875	4.32421875	4.3203125	4.8984375	4.19921875	4.44140625	4.76171875	4.40625	4.44921875	4.421875
1700001K19Rik	4.80859375	5.328125	5.18359375	5.0078125	4.953125	5.12109375	5.28125	5.19921875	4.80859375	5.171875	5.57421875	5.30078125	5.0859375	4.82421875
1700001K23Rik	4.9921875	4.9921875	5.109375	4.80078125	4.8125	4.9296875	5.046875	4.9921875	4.84375	5.0703125	5.24609375	5.09375	5.03515625	4.8046875
1700001L05Rik	6.203125	6.23828125	5.84375	6.265625	5.94921875	6.22265625	6.22265625	6.37890625	6.1171875	5.89453125	6.0703125	6.0078125	6.2421875	6.359375
1700001L19Rik	4.2890625	3.919921875	4.06640625	4.07421875	4.1328125	4.2109375	4.09765625	4.2890625	4.3125	4.2421875	4.05078125	4.0078125	4.01953125	4.0859375
1700001O22Rik	5.984375	5.94921875	5.69921875	5.71484375	5.65625	5.68359375	5.85546875	6.23828125	5.84765625	6.125	5.96484375	5.80859375	5.48046875	5.328125
1700001P01Rik	4.1484375	3.828125	3.970703125	3.791015625	4.015625	3.9609375	3.908203125	3.9296875	3.998046875	4.390625	3.998046875	4.078125	3.88671875	3.896484375
1700003E16Rik	5.73828125	5.70703125	5.6640625	5.66796875	5.69921875	5.63671875	5.6796875	5.6484375	5.62890625	5.68359375	5.66015625	5.640625	5.51953125	5.125
1700003E24Rik	4.5078125	4.48046875	4.337890625	4.390625	4.236328125	4.31640625	4.560546875	4.44921875	4.271484375	4.54296875	4.595703125	4.4453125	4.421875	4.287109375
1700003F12Rik	5.96484375	5.8984375	5.74609375	5.6015625	5.34375	5.71484375	5.73828125	6.078125	5.72265625	5.89453125	6.0625	5.8515625	5.6875	5.52734375
1700003H04Rik	3.173828125	3.263671875	3.34375	3.2421875	3.076171875	3.203125	3.208984375	3.392578125	3.2890625	3.306640625	3.482421875	3.208984375	3.5703125	3.115234375
1700003O11Rik	4.66015625	4.88671875	4.94140625	4.90625	4.6015625	4.83984375	5.0390625	5.1875	4.72265625	4.92578125	4.55859375	5.02734375	4.6875	4.61328125
1700006A11Rik	3.171875	3.236328125	3.15234375	3.109375	3.119140625	3.013671875	3.224609375	3.197265625	2.984375	3.29296875	3.17578125	3.103515625	3.17578125	3.01953125
1700006E09Rik	3.166015625	3.35546875	3.41015625	3.296875	3.34765625	3.416015625	3.369140625	3.375	3.365234375	3.4921875	3.44921875	3.16796875	3.365234375	3.263671875
1700006J14Rik	4.8671875	4.87890625	4.7734375	4.6640625	4.421875	4.765625	4.8125	4.80859375	4.609375	4.93359375	4.96875	4.80078125	4.9765625	4.859375
1700007B14Rik	3.396484375	3.28515625	3.396484375	3.326171875	3.5	3.5	3.310546875	3.318359375	3.171875	3.658203125	3.7109375	3.224609375	3.3046875	3.28125
1700007G11Rik	3.857421875	3.796875	3.931640625	3.662109375	3.615234375	3.876953125	3.859375	3.900390625	3.73828125	3.970703125	3.9296875	3.623046875	3.826171875	3.51953125
1700007K09Rik	4.7734375	4.7421875	4.671875	4.3671875	4.44921875	4.5	4.5234375	4.546875	4.41796875	4.86328125	4.61328125	4.69140625	4.61328125	4.53125
1700007K13Rik	6.4296875	6.8359375	6.95703125	6.69140625	6.43359375	6.82421875	7.13671875	6.06640625	7.515625	6.47265625	6.51953125	7.27734375	7.1328125	6.55078125
1700008J07Rik	7.53515625	7.31640625	7.2890625	7.1171875	7.08984375	7.31640625	7.34765625	7.44921875	7.1953125	7.77734375	7.62890625	7.48046875	7.2734375	7.0390625
1700008O03Rik	5.93359375	5.70703125	6.08203125	5.59765625	5.48046875	5.703125	5.76171875	5.62109375	5.50390625	5.83984375	5.72265625	5.64453125	5.7578125	5.67578125
1700008P02Rik	3.365234375	3.4453125	3.5	3.58984375	3.486328125	3.490234375	3.3828125	3.44921875	3.484375	3.521484375	3.4296875	3.47265625	3.654296875	3.349609375
1700009J07Rik	4.25	4.27734375	4.2109375	4.0703125	4.16796875	4.2734375	4.36328125	4.578125	4.0078125	4.33984375	4.1171875	4.56640625	4.1015625	4.7734375
1700009N14Rik	4.359375	4.5	4.34375	4.328125	4.65234375	4.34765625	4.34765625	4.3046875	4.3203125	4.15625	4.43359375	4.3984375	4.33203125	4.32421875
1700010B08Rik	5.09375	4.6328125	4.94921875	4.90625	4.734375	4.83203125	4.87109375	4.8671875	4.73046875	4.9375	5.08203125	4.93359375	4.65625	4.88671875
1700010H22Rik	4.1328125	4.01171875	4.01953125	4.05859375	3.95703125	3.796875	3.97265625	3.994140625	4.1640625	4.046875	3.9921875	4.17578125	4.015625	3.712890625
1700010I14Rik	5.18359375	4.73828125	5.3203125	4.6796875	5.3046875	5.10546875	4.875	4.81640625	5.61328125	5.0546875	5.0	5.1328125	4.8359375	4.78515625
1700010L04Rik	3.974609375	3.947265625	3.859375	4.01171875	3.56640625	3.830078125	3.90234375	3.693359375	3.736328125	4.10546875	3.94140625	3.697265625	3.9765625	3.826171875
1700010L13Rik	7.12890625	6.8125	6.90625	6.640625	6.7265625	6.953125	6.99609375	7.05859375	6.5625	7.3203125	7.234375	6.80859375	6.8359375	6.63671875
1700011E24Rik	4.62109375	4.3203125	4.31640625	4.30859375	4.4453125	4.37890625	4.4765625	4.40625	4.35546875	4.51953125	4.4453125	4.453125	4.37109375	4.29296875
1700011H14Rik	4.33203125	4.078125	4.37109375	4.17578125	3.978515625	4.6484375	4.18359375	4.1875	4.59765625	4.67578125	3.978515625	4.19921875	4.38671875	5.015625
1700011I03Rik	3.248046875	3.15234375	3.3203125	3.302734375	3.244140625	3.359375	3.298828125	3.197265625	3.05078125	3.689453125	3.291015625	3.30078125	3.45703125	3.388671875
1700011L22Rik	5.2421875	5.23046875	5.140625	5.1015625	5.06640625	5.19140625	5.16796875	5.35546875	5.16015625	5.23828125	5.36328125	5.203125	5.0546875	4.89453125
1700012A03Rik	4.59375	4.73828125	4.46875	4.64453125	4.4375	4.52734375	4.63671875	4.4921875	4.30078125	4.73046875	4.72265625	4.484375	4.515625	4.265625
1700012B07Rik	4.08203125	3.892578125	3.978515625	3.873046875	3.923828125	3.931640625	3.95703125	3.779296875	4.02734375	4.1640625	4.05078125	3.91796875	3.9296875	3.86328125
1700012B09Rik	3.447265625	3.080078125	3.099609375	3.09765625	3.248046875	3.25	3.25390625	3.25	3.283203125	3.29296875	3.185546875	3.197265625	3.31640625	3.130859375
1700012P22Rik	3.994140625	4.37109375	4.33984375	4.16796875	4.23828125	4.02734375	4.1875	4.53515625	4.21875	4.671875	4.46484375	4.29296875	4.109375	3.876953125
1700013D24Rik	5.015625	5.0859375	4.86328125	4.98828125	4.859375	5.1015625	5.15234375	4.87890625	5.0	4.890625	4.98828125	4.9453125	4.9609375	4.84375
1700013F07Rik	5.0859375	5.74609375	5.609375	5.3828125	5.24609375	5.515625	5.5234375	5.08203125	5.51953125	5.51171875	5.19140625	5.5390625	5.44921875	5.13671875
1700013G24Rik	5.17578125	5.02734375	4.94921875	5.25390625	4.921875	4.74609375	4.98046875	5.26953125	5.16796875	5.36328125	5.1875	5.08984375	4.87890625	4.87109375
1700013H16Rik	3.16796875	3.12109375	3.173828125	2.95703125	3.109375	2.982421875	2.998046875	3.244140625	3.109375	3.095703125	3.18359375	3.138671875	3.205078125	2.93359375
1700014B07Rik	7.01953125	6.7578125	6.77734375	6.6953125	6.25390625	6.61328125	6.66796875	6.82421875	6.609375	6.890625	6.93359375	6.75390625	6.71875	6.34765625
1700014D04Rik	4.5859375	4.02734375	3.982421875	4.28125	3.994140625	4.2578125	4.3515625	4.1328125	4.046875	4.26171875	4.12109375	4.40625	4.125	4.21484375
1700015E13Rik	4.01953125	4.27734375	4.10546875	3.888671875	3.93359375	4.0546875	4.07421875	4.015625	3.84375	4.0625	4.03515625	3.8828125	4.0625	3.845703125
1700016A09Rik	7.421875	7.12109375	7.23828125	7.03125	6.7890625	7.171875	7.046875	7.2265625	6.953125	7.578125	7.3203125	7.25	7.15234375	6.86328125
1700016C15Rik	3.91015625	4.0546875	4.0703125	3.90625	3.86328125	3.83984375	3.94921875	4.0703125	3.916015625	4.18359375	4.16796875	3.94921875	4.05859375	3.978515625
1700016D06Rik	3.7734375	3.583984375	3.587890625	3.619140625	3.529296875	3.7421875	3.603515625	3.689453125	3.677734375	3.603515625	3.763671875	3.578125	3.482421875	3.529296875
1700016D08Rik	6.17578125	6.1953125	5.83203125	5.875	5.77734375	5.8203125	5.92578125	5.859375	5.8828125	6.19140625	6.1328125	6.09375	5.92578125	5.80078125
1700016H13Rik	4.74609375	4.4765625	4.6015625	4.6640625	4.43359375	4.53125	4.6328125	4.56640625	4.55078125	4.7421875	4.77734375	4.62109375	4.453125	4.484375
1700016K19Rik	6.56640625	6.51171875	6.671875	6.38671875	6.2890625	6.46875	6.55859375	6.578125	6.51171875	6.77734375	6.9296875	6.5546875	6.33984375	6.375
1700017B05Rik	7.37109375	7.046875	6.79296875	6.890625	7.1484375	7.03515625	7.39453125	8.15625	6.91015625	7.11328125	7.19921875	7.3203125	7.44140625	7.53125
1700017D01Rik	3.21875	3.095703125	3.15234375	3.12890625	3.126953125	3.0625	3.029296875	3.146484375	3.1015625	3.15625	3.162109375	3.041015625	3.12890625	3.076171875
1700017G19Rik	4.24609375	3.8515625	4.08203125	3.93359375	3.943359375	4.046875	3.833984375	4.24609375	3.75390625	4.046875	3.96484375	3.77734375	3.908203125	3.69140625
1700017N19Rik	3.56640625	3.6171875	3.79296875	3.599609375	3.6171875	3.763671875	3.625	3.900390625	3.599609375	3.763671875	3.6953125	3.703125	3.70703125	3.529296875
1700018A04Rik	4.24609375	4.3046875	4.16015625	3.9921875	3.978515625	4.18359375	4.16015625	4.35546875	4.12890625	4.87890625	4.4921875	4.140625	4.02734375	3.9921875
1700018A14Rik	5.3203125	5.44140625	5.046875	5.35546875	5.0703125	5.234375	5.35546875	5.2578125	5.19921875	5.43359375	5.56640625	5.265625	5.0703125	4.8359375
1700018B08Rik	5.44921875	5.44921875	5.48046875	5.2421875	5.109375	5.3515625	5.35546875	5.40625	5.23828125	5.71875	5.52734375	5.4765625	5.27734375	5.21875
1700018B24Rik	4.6953125	4.6015625	4.3515625	4.3359375	4.44921875	4.2890625	4.53515625	4.54296875	4.37109375	4.72265625	4.71875	4.41015625	4.28515625	4.32421875
1700018C11Rik	4.66015625	4.65234375	4.453125	4.515625	4.42578125	4.3984375	4.4140625	4.6484375	4.51953125	4.359375	4.7421875	4.60546875	4.3203125	4.48828125
1700018F24Rik	3.90625	4.2734375	4.1640625	4.078125	4.078125	4.2421875	4.12890625	4.05078125	4.12109375	4.06640625	4.3984375	4.0546875	4.1484375	4.30078125
1700018M17Rik	7.55859375	7.11328125	7.0703125	7.0546875	6.88671875	7.0234375	7.1015625	7.203125	7.125	7.5703125	7.51171875	7.421875	7.1015625	7.00390625
1700019A02Rik	3.078125	3.025390625	3.162109375	3.126953125	3.15625	3.185546875	3.080078125	3.1015625	3.169921875	3.53515625	3.2265625	3.01171875	3.205078125	3.06640625
1700019B03Rik	4.1171875	4.1484375	4.24609375	4.1015625	3.97265625	4.171875	4.171875	4.0859375	4.2265625	4.12890625	4.3515625	4.1953125	4.203125	4.14453125
1700019D03Rik	8.484375	8.84375	8.8828125	8.984375	8.796875	8.859375	8.546875	8.90625	8.6640625	8.890625	8.4140625	8.515625	8.359375	8.046875
1700019M22Rik	3.353515625	3.171875	3.11328125	3.130859375	3.1484375	3.236328125	3.2578125	3.236328125	3.015625	3.181640625	3.185546875	3.2421875	3.1953125	3.083984375
1700019N19Rik	3.681640625	3.8515625	3.82421875	3.71484375	3.82421875	3.79296875	4.0234375	3.564453125	3.798828125	3.875	3.80859375	3.66796875	3.880859375	3.56640625
1700019O17Rik	5.8046875	5.9375	5.5234375	5.96875	5.78515625	6.0234375	5.88671875	6.10546875	6.01171875	6.00390625	6.09375	5.953125	5.9453125	5.79296875
1700020A23Rik	4.453125	4.69921875	4.50390625	4.453125	4.421875	4.4921875	4.66796875	4.45703125	4.20703125	4.51171875	4.60546875	4.3515625	4.34765625	4.3515625
1700020D05Rik	4.4375	4.41796875	4.17578125	4.30078125	4.31640625	4.62109375	4.23828125	4.18359375	4.28515625	4.203125	4.23828125	4.23046875	4.2578125	4.27734375
1700020L24Rik	5.55859375	5.3515625	5.38671875	5.32421875	5.23828125	5.31640625	5.2421875	5.578125	5.18359375	5.0234375	5.4921875	5.296875	5.12109375	5.1015625
1700020N01Rik	4.875	4.87890625	4.81640625	4.6171875	4.640625	4.82421875	4.75390625	4.62109375	4.73046875	5.1796875	5.0625	4.796875	4.64453125	4.5703125
1700021A07Rik	5.16796875	5.3125	5.2421875	5.08984375	4.9375	5.03515625	5.4140625	5.390625	4.97265625	5.09765625	5.296875	5.234375	5.29296875	4.953125
1700021F05Rik	8.71875	8.296875	8.3203125	8.1640625	8.5859375	8.6328125	8.3046875	9.515625	8.5234375	8.890625	8.328125	8.6796875	8.3203125	8.0234375
1700021F07Rik	6.14453125	5.85546875	5.83984375	5.96875	5.8828125	5.828125	5.86328125	5.875	5.7734375	6.25390625	5.8984375	5.859375	6.015625	5.82421875
1700021P04Rik	3.603515625	3.634765625	3.453125	3.701171875	3.6328125	3.65625	3.6875	3.517578125	3.58984375	3.591796875	3.4296875	3.775390625	3.607421875	3.3515625
1700022A21Rik	6.01171875	5.6953125	5.890625	5.72265625	5.515625	5.65234375	5.65625	5.54296875	5.6640625	5.91796875	5.98046875	5.734375	5.45703125	5.5703125
1700022I11Rik	3.244140625	3.24609375	3.3125	3.3359375	3.126953125	3.294921875	3.376953125	3.34375	3.21875	3.419921875	3.517578125	3.291015625	3.40234375	3.189453125
1700023F06Rik	6.80859375	6.55859375	6.515625	6.5625	6.4375	6.31640625	6.609375	6.5859375	6.5234375	6.6640625	6.63671875	6.63671875	6.55078125	6.32421875
1700024B05Rik	3.3733723958333335	3.32421875	3.330078125	3.2945963541666665	3.3802083333333335	3.3186848958333335	3.3277994791666665	3.470703125	3.3154296875	3.4723307291666665	3.4192708333333335	3.30859375	3.4449869791666665	3.3056640625
1700024G13Rik	4.53125	4.53125	4.41015625	4.515625	4.390625	4.6484375	4.44140625	4.52734375	4.328125	4.53515625	4.51953125	4.5390625	4.41796875	4.47265625
1700024J04Rik	4.734375	4.62890625	4.75390625	4.58203125	4.4453125	4.53125	4.7109375	4.7265625	4.578125	4.8515625	4.98828125	4.78515625	4.59765625	4.51171875
1700024P04Rik	3.919921875	3.796875	4.015625	3.94140625	3.748046875	3.837890625	3.943359375	3.814453125	3.796875	3.966796875	3.865234375	4.0234375	3.880859375	3.87109375
1700024P16Rik	4.0625	4.015625	3.666015625	3.833984375	3.8125	3.87109375	3.8828125	4.1640625	3.7734375	4.01171875	3.953125	4.06640625	3.734375	4.8359375
1700025F22Rik	2.75	2.68359375	2.802734375	2.71484375	2.84375	2.7265625	2.69921875	2.84375	2.921875	2.806640625	2.642578125	2.794921875	2.853515625	2.75390625
1700025G04Rik	6.9921875	6.978515625	6.72265625	6.8515625	6.974609375	6.640625	6.97265625	7.04296875	7.30078125	6.37109375	7.048828125	6.939453125	6.798828125	7.837890625
1700025H01Rik	6.5390625	6.62109375	6.3125	6.4375	6.01171875	6.703125	6.55859375	6.15234375	6.46875	6.421875	6.51953125	6.640625	6.328125	6.40234375
1700025O08Rik	3.4375	3.39453125	3.484375	3.404296875	3.166015625	3.306640625	3.40234375	3.037109375	3.419921875	3.482421875	3.38671875	3.259765625	3.423828125	3.35546875
1700027A07Rik	5.1484375	5.0390625	5.04296875	4.80078125	4.8828125	5.17578125	5.015625	4.95703125	4.87890625	5.0625	4.84765625	5.01953125	5.0625	4.97265625
1700028I16Rik	5.78515625	5.5	5.55859375	5.515625	5.33203125	5.375	5.66015625	5.3984375	5.36328125	5.59765625	5.48828125	5.578125	5.48046875	5.3515625
1700028J19Rik	7.27734375	6.8203125	6.8984375	6.859375	7.05078125	6.859375	6.80078125	7.3046875	7.23046875	7.6484375	7.08203125	7.0859375	6.14453125	6.67578125
1700028N14Rik	6.296875	5.98046875	6.13671875	6.18359375	6.21484375	6.05078125	6.09765625	6.16015625	6.15625	5.95703125	6.35546875	6.33203125	6.11328125	6.4609375
