gene_symbol	GSM3625299	GSM3625300	GSM3625302	GSM3625298	GSM3625303	GSM3625306	GSM3625305	GSM3625301	GSM3625304
1700010L13Rik	5.8828125	5.94921875	5.96875	5.96875	5.91796875	5.86328125	6.01953125	6.1015625	5.86328125
1700011E24Rik	3.189453125	3.05859375	3.080078125	3.13671875	2.93359375	3.353515625	3.251953125	3.205078125	3.220703125
1700011H14Rik	3.18359375	3.248046875	2.57421875	3.298828125	3.18359375	3.18359375	3.240234375	2.908203125	3.18359375
1700011I03Rik	3.662109375	3.81640625	3.6171875	3.578125	3.599609375	3.37890625	3.439453125	3.49609375	3.599609375
1700011L22Rik	3.830078125	3.830078125	3.70703125	3.689453125	3.830078125	3.591796875	3.830078125	3.984375	3.955078125
1700012A03Rik	3.640625	3.546875	3.646484375	3.763671875	3.666015625	3.666015625	3.666015625	3.666015625	3.8046875
1700012B07Rik	2.921875	3.333984375	3.072265625	3.015625	3.072265625	3.2578125	2.98828125	2.984375	3.208984375
1700012B09Rik	6.1328125	6.0234375	5.77734375	6.1015625	6.0234375	6.0234375	6.3046875	6.0234375	5.875
1700012P22Rik	3.4375	3.4375	3.357421875	3.4375	3.166015625	3.591796875	3.052734375	3.654296875	3.640625
1700013D24Rik	4.74609375	4.75	4.8203125	4.9609375	4.7421875	4.63671875	4.70703125	4.671875	4.8046875
1700013F07Rik	6.34375	6.125	6.01953125	6.375	6.1015625	6.6328125	6.62109375	6.23828125	6.47265625
1700013G24Rik	4.5546875	4.5234375	4.5625	4.59765625	4.65625	4.26953125	4.5	4.359375	4.62890625
1700014B07Rik	4.81640625	4.921875	4.70703125	4.76953125	4.83203125	4.80859375	4.8515625	4.90234375	4.83984375
1700014D04Rik	3.439453125	3.439453125	3.439453125	3.513671875	3.271484375	3.28515625	3.439453125	3.439453125	3.435546875
1700015E13Rik	5.09765625	5.1875	5.05078125	5.00390625	5.05078125	5.2421875	5.05078125	5.05078125	5.05078125
1700016A09Rik	6.0390625	6.08984375	6.02734375	6.09765625	6.08984375	5.94921875	6.08984375	6.08984375	6.13671875
1700016C15Rik	4.40625	4.23046875	4.2265625	4.28515625	4.52734375	4.3046875	4.3046875	4.0390625	4.2109375
1700016D08Rik	5.41796875	5.5390625	5.47265625	5.5390625	5.62890625	5.53125	5.51171875	5.69140625	5.88671875
1700016H13Rik	3.953125	4.55859375	4.40625	4.4296875	4.37109375	4.68359375	4.484375	4.61328125	4.4296875
1700016K19Rik	6.68359375	6.53515625	6.375	7.0546875	6.51171875	7.0859375	7.06640625	6.671875	6.671875
1700017B05Rik	5.765625	5.765625	5.87109375	5.78125	5.765625	5.6484375	5.58984375	5.984375	5.69921875
1700017G19Rik	3.41015625	3.626953125	3.44921875	3.443359375	3.53515625	3.419921875	3.33984375	3.44921875	3.634765625
1700018A04Rik	3.46484375	3.333984375	3.333984375	3.4296875	3.333984375	3.333984375	3.333984375	3.02734375	3.2890625
1700018A14Rik	4.81640625	4.86328125	4.8125	4.86328125	4.73046875	4.86328125	4.86328125	4.86328125	5.01171875
1700018B08Rik	4.84765625	5.0703125	5.0625	5.0625	5.0625	5.0625	5.1171875	5.16015625	4.9375
1700018B24Rik	3.83203125	3.923828125	3.87890625	3.9765625	3.85546875	3.9453125	4.109375	3.90234375	3.89453125
1700018C11Rik	4.421875	4.46875	4.421875	4.4765625	4.38671875	4.078125	4.59765625	4.421875	4.38671875
1700018F24Rik	3.060546875	3.455078125	3.05859375	3.255859375	3.158203125	3.181640625	3.193359375	3.125	3.162109375
1700018M17Rik	5.71875	5.76953125	5.96484375	5.92578125	6.0859375	5.96484375	6.0234375	6.09375	6.0078125
1700019A02Rik	3.591796875	3.560546875	3.173828125	3.841796875	3.625	3.521484375	3.509765625	3.591796875	3.591796875
1700019B03Rik	3.443359375	3.533203125	3.591796875	3.54296875	3.759765625	3.544921875	3.56640625	3.544921875	3.451171875
1700019D03Rik	5.34765625	5.19140625	5.94140625	5.83984375	5.9921875	4.98828125	5.29296875	5.75	5.4296875
1700019M22Rik	3.3046875	3.3046875	2.85546875	3.201171875	3.703125	3.2890625	3.3046875	3.3046875	3.314453125
1700019N19Rik	3.48828125	3.923828125	3.83984375	3.701171875	3.701171875	3.9609375	3.83984375	3.830078125	4.05859375
1700019O17Rik	4.79296875	4.8984375	4.859375	4.8984375	4.8984375	4.875	4.8984375	4.8984375	5.03125
1700020A23Rik	4.78125	5.00390625	4.98828125	4.95703125	4.8515625	4.84375	4.984375	5.06640625	4.97265625
1700020D05Rik	3.947265625	4.0078125	4.0078125	4.0078125	4.12109375	4.22265625	3.919921875	3.943359375	4.0078125
1700020L24Rik	5.13671875	5.49609375	5.19921875	5.19140625	4.9921875	5.19140625	5.1171875	5.20703125	5.2109375
1700020N01Rik	4.12890625	4.1484375	4.24609375	4.265625	4.24609375	4.24609375	4.24609375	4.23046875	4.34375
1700021A07Rik	5.46875	5.46875	5.4140625	5.52734375	5.46875	5.46875	5.60546875	5.46875	5.46875
1700021F05Rik	8.3125	8.171875	8.1484375	8.2421875	8.328125	8.1953125	8.1796875	8.109375	8.15625
1700021F07Rik	4.80859375	4.875	4.6015625	4.859375	4.62890625	5.046875	4.82421875	4.875	4.859375
1700021P04Rik	3.123046875	3.017578125	3.123046875	3.123046875	3.0859375	2.90234375	3.142578125	3.265625	3.064453125
1700022A21Rik	4.98828125	4.98828125	4.79296875	5.0859375	4.98046875	4.984375	4.98828125	5.296875	4.97265625
1700022I11Rik	3.21484375	3.015625	2.927734375	2.9609375	2.9609375	2.646484375	2.849609375	2.9609375	2.9609375
1700023F06Rik	6.5078125	6.30859375	6.171875	6.30859375	6.23046875	6.2578125	6.24609375	6.2890625	6.26953125
1700024B05Rik	5.51171875	5.58203125	5.25	5.2265625	5.2421875	5.15234375	5.22265625	5.25	5.23046875
1700024G13Rik	5.046875	5.20703125	5.07421875	5.0390625	5.20703125	5.27734375	5.57421875	5.4140625	5.20703125
1700024J04Rik	4.08984375	4.08984375	4.08984375	4.08984375	3.93359375	4.07421875	4.08984375	4.1015625	4.08984375
1700024P16Rik	3.259765625	3.658203125	3.47265625	3.515625	3.47265625	3.47265625	3.47265625	3.435546875	3.4296875
1700025G04Rik	7.619140625	7.65625	7.611328125	7.50390625	7.546875	7.6953125	7.41796875	7.4609375	7.5703125
1700025H01Rik	5.69921875	5.90625	5.93359375	5.98046875	6.09375	5.90234375	5.93359375	5.84375	6.08984375
1700025O08Rik	3.44140625	3.31640625	3.2734375	3.22265625	3.064453125	3.31640625	3.5078125	2.935546875	3.666015625
1700027A07Rik	4.66015625	5.140625	5.22265625	5.18359375	4.99609375	4.9375	4.90234375	4.99609375	5.06640625
1700028I16Rik	4.95703125	4.95703125	4.89453125	4.95703125	5.09375	4.90625	4.91015625	4.95703125	5.05859375
1700028J19Rik	4.921875	4.9296875	4.94140625	4.77734375	4.9296875	4.58203125	5.0	4.9296875	4.54296875
1700028N14Rik	4.7109375	4.75	4.8828125	4.83203125	4.8828125	4.83203125	4.83203125	4.85546875	4.92578125
1700028P14Rik	4.07421875	4.07421875	3.515625	4.73046875	4.07421875	4.0234375	4.25	3.853515625	4.01171875
1700029F12Rik	3.931640625	4.03515625	3.92578125	4.1875	3.97265625	4.0234375	4.3828125	4.01953125	4.2421875
1700029H14Rik	4.75	4.99609375	4.95703125	4.97265625	4.796875	4.89453125	4.89453125	4.78125	4.8125
1700029I15Rik	6.890625	6.88671875	6.84375	6.89453125	7.0625	6.91015625	6.9609375	6.71484375	6.98828125
1700029J07Rik	6.21484375	5.90625	6.12890625	6.125	6.140625	6.55859375	6.6640625	5.875	6.04296875
1700029M20Rik	4.24609375	4.24609375	4.203125	4.24609375	4.24609375	4.24609375	4.2578125	4.33203125	4.24609375
1700029P11Rik	5.04296875	5.04296875	5.21875	5.0703125	5.04296875	5.04296875	5.04296875	5.04296875	5.04296875
1700030C10Rik	5.6875	6.02734375	5.72265625	5.671875	5.7890625	5.4609375	5.4453125	5.70703125	5.7265625
1700030J22Rik	6.03515625	6.125	6.03515625	6.17578125	6.03515625	5.8671875	5.86328125	6.140625	6.02734375
1700030K09Rik	5.97265625	5.99609375	5.77734375	5.6875	5.94140625	6.15234375	6.09765625	5.61328125	6.20703125
1700031C06Rik	5.83984375	5.8046875	5.4140625	5.6484375	5.609375	5.6171875	5.92578125	5.69140625	5.51171875
1700031F05Rik	5.65625	6.28515625	5.6171875	5.3828125	5.57421875	5.90625	5.390625	5.76171875	5.9921875
1700031F10Rik	2.943359375	3.8828125	3.439453125	3.03125	3.48828125	3.439453125	4.0078125	3.439453125	3.7578125
1700031M16Rik	4.3203125	5.01953125	4.53515625	4.53515625	4.4765625	4.51953125	4.53515625	4.53515625	4.63671875
1700034H15Rik	5.4609375	5.8359375	5.5859375	5.328125	5.37109375	5.3203125	5.34765625	5.37109375	5.30859375
1700034I23Rik	5.30859375	5.3359375	5.25390625	4.54296875	5.93359375	5.25390625	5.2421875	5.25390625	4.97265625
1700034J04Rik	4.53515625	4.6796875	4.71875	4.8984375	4.63671875	4.75	4.54296875	4.671875	4.87890625
1700034J05Rik	4.16796875	4.20703125	4.16796875	4.2578125	4.30078125	4.51953125	4.11328125	4.16796875	3.966796875
1700034O15Rik	3.26953125	3.525390625	3.84765625	3.248046875	3.486328125	3.486328125	3.486328125	3.486328125	3.474609375
1700036A12Rik	6.28515625	6.33984375	6.20703125	6.20703125	6.04296875	6.20703125	5.98046875	6.09375	6.375
1700037C18Rik	6.04296875	6.04296875	6.04296875	6.04296875	5.91796875	5.95703125	6.04296875	6.04296875	5.984375
1700037H04Rik	8.2265625	8.2734375	8.0625	8.2734375	8.0234375	8.3671875	8.2734375	8.5390625	8.5
1700038P13Rik	3.919921875	3.984375	3.83984375	3.76171875	3.99609375	3.615234375	4.02734375	4.12890625	3.95703125
1700039E15Rik	3.861328125	4.0	3.662109375	3.7265625	3.861328125	3.861328125	3.625	3.861328125	3.861328125
1700040L02Rik	4.66015625	5.19140625	4.7578125	5.08984375	5.35546875	5.08203125	5.05859375	5.05859375	4.984375
1700041B01Rik	7.0078125	7.11328125	7.10546875	7.01953125	6.9296875	6.9296875	6.93359375	7.1171875	6.95703125
1700041G16Rik	3.99609375	4.12890625	4.25390625	4.4609375	4.4375	4.27734375	4.27734375	4.3125	4.27734375
1700045I11Rik	5.17578125	5.44140625	5.39453125	5.39453125	5.65625	5.34765625	5.23046875	5.39453125	5.46484375
1700047G07Rik	4.79296875	4.890625	4.70703125	4.56640625	4.41796875	4.875	5.0625	4.890625	5.125
1700047I17Rik2	8.614583333333334	8.552083333333334	8.7421875	8.53125	8.627604166666666	8.7109375	8.635416666666666	8.645833333333334	8.635416666666666
1700048O20Rik	5.359375	5.953125	5.41796875	5.6640625	5.44140625	6.16796875	6.203125	6.1328125	5.87890625
1700049J03Rik	3.76171875	3.87890625	3.533203125	3.6796875	3.76171875	3.6640625	3.76171875	3.76171875	3.76171875
1700049L16Rik	5.4921875	5.5546875	5.546875	5.5546875	5.4296875	5.6640625	5.5546875	5.5546875	5.87890625
1700052K11Rik	6.29296875	6.53125	6.3203125	6.37890625	6.58984375	6.37109375	6.53125	6.3828125	6.46875
1700054O19Rik	7.77734375	7.76171875	7.83984375	7.76171875	7.9296875	7.68359375	7.76171875	7.48046875	7.76171875
1700055D18Rik	4.515625	4.37109375	4.62109375	4.515625	4.515625	4.515625	4.45703125	4.515625	4.48828125
1700056E22Rik	5.2890625	5.390625	5.3125	5.3125	5.21484375	5.3125	5.3125	5.3125	5.3125
1700057G04Rik	4.15625	4.359375	4.30078125	4.0546875	4.3203125	4.05859375	4.2734375	4.2734375	4.2734375
1700061G19Rik	3.45703125	3.6328125	3.45703125	3.302734375	3.65234375	3.34375	3.59375	3.41796875	3.658203125
1700061I17Rik	3.498046875	3.306640625	3.005859375	3.23828125	3.23828125	3.2265625	3.353515625	3.2265625	3.23828125
1700063H04Rik	3.666015625	3.20703125	3.29296875	3.3671875	3.314453125	3.689453125	3.158203125	3.3671875	3.408203125
1700064E03Rik	5.828125	5.83984375	5.8671875	5.828125	5.734375	5.8125	5.828125	5.828125	5.8046875
1700065D16Rik	3.75	3.4765625	3.6171875	3.927734375	3.46484375	3.640625	3.650390625	3.833984375	3.912109375
1700066B19Rik	5.14453125	5.14453125	5.14453125	5.140625	5.16015625	5.14453125	4.984375	4.95703125	5.44140625
1700066M21Rik	6.8984375	6.73828125	6.30078125	6.41796875	6.703125	6.64453125	6.796875	6.703125	6.7578125
1700067K01Rik	4.46484375	4.4765625	4.6953125	4.671875	4.33984375	4.5234375	4.53125	4.609375	4.43359375
1700067P10Rik	3.64453125	3.55078125	3.48828125	3.55078125	3.55078125	3.697265625	3.267578125	3.697265625	3.611328125
1700069B07Rik	4.0859375	4.59765625	4.59765625	4.69921875	4.66015625	4.33984375	4.59765625	4.96484375	4.59765625
1700069L16Rik	4.66015625	4.734375	4.84765625	4.72265625	4.6171875	4.60546875	4.73828125	4.96484375	4.84765625
1700071K01Rik	7.015625	7.015625	7.015625	6.77734375	6.96875	7.1328125	7.07421875	6.8828125	7.24609375
1700072H12Rik	5.140625	5.40625	5.140625	5.359375	4.60546875	5.140625	4.953125	5.11328125	5.140625
1700073E17Rik	4.54296875	4.7109375	4.42578125	4.54296875	4.65625	4.453125	4.54296875	4.6015625	4.3359375
1700080E11Rik	4.390625	4.53515625	4.19140625	4.421875	4.16796875	4.16015625	4.3671875	4.640625	4.22265625
1700080G18Rik	4.515625	4.5390625	4.515625	4.515625	4.515625	4.3984375	4.47265625	4.6484375	4.515625
1700084C06Rik	6.37109375	6.625	6.35546875	6.43359375	6.32421875	6.453125	6.6953125	6.64453125	6.24609375
1700084E18Rik	5.61328125	5.7109375	5.54296875	5.61328125	5.609375	5.51171875	5.546875	5.765625	5.76953125
1700084J12Rik	4.92578125	4.76953125	4.78515625	4.95703125	4.9609375	4.48828125	4.7734375	4.55859375	4.78125
1700084K02Rik	3.48828125	3.478515625	3.33984375	3.65234375	3.37890625	3.009765625	3.37890625	3.296875	3.5
1700084P21Rik	4.23828125	4.5234375	4.21484375	3.921875	4.3515625	4.23828125	4.23828125	4.1953125	4.296875
1700086D15Rik	4.75	4.8828125	4.75	4.75	4.5	4.75	4.75	4.77734375	4.83203125
1700086L19Rik	8.171875	7.75	7.74609375	7.82421875	7.94921875	7.6796875	7.8828125	7.89453125	7.55078125
1700086O06Rik	7.046875	7.0546875	7.0546875	7.02734375	6.9296875	7.07421875	7.22265625	7.0859375	7.0546875
1700088E04Rik	6.75390625	6.8515625	6.5	6.8515625	6.734375	6.734375	6.65234375	6.73828125	6.7421875
1700093J21Rik	5.1796875	5.12109375	5.12109375	5.12109375	5.02734375	5.12109375	5.09765625	5.30859375	5.203125
1700093K21Rik	3.4609375	3.271484375	3.384765625	3.6484375	3.4609375	3.337890625	3.4609375	3.546875	3.87890625
1700101G07Rik	4.26171875	4.390625	4.5390625	4.390625	4.390625	4.390625	4.390625	4.46875	4.390625
1700101I19Rik	3.982421875	4.01953125	3.81640625	3.84375	3.84375	3.69921875	4.0546875	3.84375	3.84375
1700102P08Rik	4.48828125	4.54296875	4.3828125	4.54296875	5.01953125	4.54296875	4.3515625	4.37109375	4.54296875
1700104B16Rik	3.9140625	3.9375	3.7890625	3.826171875	3.7265625	3.7890625	3.603515625	3.291015625	3.7890625
1700109H08Rik	5.84765625	5.625	5.01171875	5.44140625	5.27734375	5.21484375	5.26171875	5.0625	4.9609375
1700111E14Rik	5.03125	5.05078125	4.92578125	4.76953125	4.984375	4.78515625	4.92578125	4.92578125	4.921875
1700112E06Rik	4.53125	4.89453125	4.6171875	4.59765625	4.4375	4.52734375	4.59765625	4.59765625	4.59765625
1700113H08Rik	3.10546875	3.201171875	3.0703125	3.10546875	2.966796875	2.974609375	3.10546875	3.10546875	3.044921875
1700116B05Rik	5.40625	5.2890625	5.30859375	5.28125	5.2890625	5.234375	5.5234375	5.12890625	5.3125
1700120B22Rik	4.30078125	4.34765625	4.47265625	4.4296875	4.55859375	4.46875	4.625	4.48828125	4.3359375
1700120K04Rik	4.140625	4.66015625	4.734375	4.70703125	4.70703125	4.70703125	4.72265625	4.89453125	4.953125
1700122O11Rik	3.298828125	3.03125	3.41796875	3.228515625	3.408203125	2.982421875	3.232421875	3.154296875	3.30859375
1700123K08Rik	4.53125	4.640625	4.953125	4.23046875	4.2578125	4.5078125	4.53125	4.53125	4.6484375
1700123L14Rik	5.0859375	5.71875	5.3359375	5.01953125	5.3046875	4.8125	5.54296875	5.37890625	5.54296875
1700123O20Rik	7.484375	7.1171875	7.26171875	7.26171875	7.19921875	7.16796875	7.37109375	7.26171875	7.12890625
1700125H20Rik	4.2421875	4.2109375	4.1328125	4.17578125	4.2109375	4.2890625	4.42578125	4.13671875	4.37890625
1700128E19Rik	5.015625	5.09375	4.67578125	4.67578125	4.453125	4.53125	4.46875	4.515625	4.80078125
1700128F08Rik	2.97265625	3.08984375	2.998046875	3.08984375	3.08984375	2.998046875	3.08984375	3.08984375	3.154296875
1810010D01Rik	5.0625	5.0078125	4.9453125	4.9453125	4.8046875	4.93359375	5.39453125	4.640625	4.8828125
1810010H24Rik	5.39453125	5.625	5.30859375	4.984375	5.25390625	5.39453125	5.2421875	5.515625	5.34375
