	GSM4191298	GSM4191299	GSM4191296	GSM4191292	GSM4191295	GSM4191294	GSM4191293	GSM4191290	GSM4191301	GSM4191291
Rbck1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pnpo	8.984375	9	8.359375	8.4296875	8.3984375	8.546875	8.5390625	8.4453125	8.609375	8.6015625
Spin1	8.5703125	7.70703125	8.5859375	8.234375	8.4375	8.4765625	8.0078125	8.4140625	8.2421875	8.171875
Spin1	6.7421875	6.234375	6.953125	6.6875	6.66015625	6.64453125	6.72265625	6.5546875	6.54296875	6.6484375
Gm2444///Dazap2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ddr1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ddr1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wbp11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gja1	9.984375	9.90625	10.71875	9.9140625	10.3671875	10.40625	10.0859375	10.3203125	10.5234375	10.078125
Gja1	8.0703125	8.3671875	8.3828125	8.40625	8.4921875	8.9140625	8.5546875	8.7421875	8.6640625	8.359375
Slc16a1	9.953125	10.28125	10.15625	9.8359375	9.4921875	9.8125	9.984375	10.265625	9.484375	10.328125
Cx3cl1	6.41015625	6.328125	5.5859375	6.515625	6.3046875	6.2578125	6.24609375	6.30078125	5.87890625	6.14453125
Cx3cl1	6.93359375	6.9765625	6.7421875	7.2265625	6.9765625	6.8046875	7.07421875	7.01171875	6.72265625	6.84375
Clps	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plat	8.375	7.46875	9.2734375	7.515625	8.3515625	8.09375	7.5859375	7.7890625	8.4375	7.84375
Srsf2	9.0703125	8.890625	8.7265625	9.359375	9.2265625	9.1640625	9.1875	9.2890625	8.796875	9.3828125
Tpbpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tpbpa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uhrf1	5.015625	4.2890625	5.453125	5.6875	6.3203125	5.69921875	4.75390625	5.59765625	5.1328125	6.41796875
Uhrf1	5.0703125	4.83203125	5.23046875	5.33984375	6.19140625	5.21484375	5.15625	5.24609375	5.125	5.77734375
Gsn	13.296875	13.078125	13.6015625	13.34375	13.46875	13.578125	13.5625	13.1484375	13.71875	13.1796875
Api5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atp6v1b2	9.9296875	10.0703125	9.546875	10.0078125	10.21875	9.859375	9.7734375	10	9.7265625	9.8359375
Trim27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cct7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cct7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anxa6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ppp2r1a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nono	9	8.6015625	9.359375	9.125	9.2734375	9.234375	8.84375	9.203125	9.0625	8.953125
Nptn	10.8828125	10.5078125	11.296875	10.9140625	11.1953125	11.0625	10.859375	11.1015625	11.0859375	11.0078125
Scd2	11.6640625	10.21875	10.9921875	10.6875	10.890625	11.1171875	11.2265625	11.2734375	11.0625	10.609375
Scd2	9.90625	8.578125	9.359375	9.2890625	9.34375	9.578125	9.7578125	9.703125	9.59375	9.0546875
Scd2	8.0859375	7.0859375	7.875	8.265625	7.78125	7.98046875	8.8671875	8.328125	7.96484375	7.72265625
Csnk1d	8.2578125	7.98828125	8.3203125	8.5703125	8.5	8.484375	8.4140625	8.5859375	8.4453125	8.3125
Atp6v1h	9	8.6328125	8.8515625	8.453125	8.890625	8.609375	8.1953125	8.625	9.28125	8.9921875
Serp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Serp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lbr	8.1328125	7.77734375	8.40625	8.40625	8.6796875	8.3046875	7.88671875	8.3828125	8.265625	8.5
Orc5	7.8671875	7.5546875	7.84765625	7.23046875	7.86328125	7.69921875	7.5	7.53125	7.9453125	7.9375
Psmd2	10.4453125	10.21875	10.328125	10.140625	10.484375	10.171875	10.0625	10.3515625	10.6171875	10.40625
Agtr2	7.93359375	3.43359375	4.390625	3.890625	5.87890625	4.7109375	4.05078125	3.712890625	3.806640625	3.90234375
Rps29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dusp6	8.46875	7.5625	7.54296875	8.5234375	8.4296875	8.765625	7.4453125	8.5	7.57421875	8.171875
Prl3b1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aldh18a1	6.3984375	6.05859375	6.5078125	6.73046875	6.5078125	6.7734375	6.6015625	6.82421875	6.12109375	6.58984375
Klk1	6.015625	10.515625	5.76953125	5.28125	4.69140625	5.16796875	5.3125	5.10546875	4.6328125	7.82421875
Serinc1	10.515625	10.1875	10.9140625	10.3515625	10.5546875	10.6015625	10.34375	10.5390625	10.8515625	10.40625
Npm1	10.25	9.765625	10.65625	10.359375	10.4765625	10.359375	10.109375	10.421875	10.3203125	10.21875
Elovl5	11.4140625	10.6015625	10.9453125	10.96875	10.7890625	10.78125	10.6796875	10.96875	11.15625	10.828125
Dync1i2	9.109375	8.7578125	9.5	9.046875	9.3203125	9.1484375	8.9453125	9.2265625	9.265625	9.1484375
Mlst8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mlst8	6.26953125	6.2734375	6.01171875	6.0546875	6.296875	5.7109375	6.35546875	5.9375	6.14453125	6.51953125
Syt4	5.49609375	3	3.25	4.2890625	3.287109375	3.435546875	4.11328125	4.73828125	3.05859375	3.291015625
Syt4	5.421875	3.9609375	3.994140625	4.77734375	4.015625	4.234375	4.5859375	4.59765625	3.994140625	4.09765625
Ldhc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ldhc	4.2578125	4.2578125	4.21484375	4.25390625	4.01171875	3.81640625	4.12109375	4.2421875	4.42578125	4.08984375
Prl3d1	5.953125	6.29296875	5.88671875	6.15234375	5.734375	6.09765625	5.9453125	5.953125	5.98046875	5.890625
Stmn1	8.8203125	8.78125	8.875	9.5234375	9.8671875	9.15625	8.796875	9.3359375	8.234375	9.609375
Rasa3	8.75	8.8671875	9.6171875	9.4140625	9.7109375	9.578125	9.203125	9.3359375	10.0703125	9.34375
Gm15210///Impdh2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm15210///Impdh2	9.21875	8.453125	9.28125	9.0546875	9.4375	9.1484375	8.9921875	9.140625	9.296875	9.1796875
Def8	7.30859375	7.91015625	7.1171875	7.26171875	7.30078125	7.33203125	7.51953125	7.3125	7.42578125	7.53125
Kitl	5.27734375	5.609375	5.671875	6.12109375	4.94921875	5.78515625	6.00390625	5.63671875	6.30859375	5.76953125
Kitl	9.234375	9.015625	9.5546875	9.4921875	9.8828125	9.6875	9.40625	9.78125	9.7109375	9.8671875
