gene_symbol	GSM1164972	GSM1164975	GSM1164974	GSM1164976	GSM1164973	GSM1164977
1700014D04Rik	20.625	20.796875	21.546875	21.71875	20.359375	21.28125
1700015E13Rik	22.40625	22.34375	22.34375	22.046875	23.03125	21.921875
1700016A09Rik	43.65625	41.0	43.0625	43.96875	45.125	46.9375
1700016C15Rik	20.65625	21.28125	20.546875	20.875	21.4375	21.078125
1700016D06Rik	20.3125	20.53125	20.578125	20.28125	20.734375	20.265625
1700016D08Rik	35.0	34.9375	33.59375	36.375	31.34375	31.25
1700016H13Rik	21.0	21.34375	21.359375	22.59375	21.921875	21.0625
1700016K19Rik	28.921875	28.671875	26.09375	30.71875	28.140625	27.9375
1700017B05Rik	54.53125	61.4375	60.875	59.625	56.90625	50.09375
1700017D01Rik	19.84375	20.15625	20.203125	19.796875	20.078125	20.0625
1700017G19Rik	22.375	21.296875	21.796875	21.046875	21.5	21.234375
1700017N19Rik	20.296875	20.421875	20.078125	20.46875	20.4375	19.65625
1700018A04Rik	21.3125	21.15625	21.765625	21.359375	21.875	21.21875
1700018A14Rik	22.5625	22.734375	22.46875	23.109375	22.234375	22.34375
1700018B08Rik	24.421875	24.828125	23.34375	24.296875	23.484375	23.265625
1700018B24Rik	21.359375	21.40625	21.296875	22.203125	21.640625	21.421875
1700018C11Rik	24.140625	23.296875	23.453125	24.75	22.3125	22.59375
1700018F24Rik	20.625	19.953125	20.65625	20.421875	19.859375	19.734375
1700018M17Rik	65.375	58.71875	67.625	82.6875	62.96875	63.4375
1700019A02Rik	19.734375	19.5	19.59375	19.25	19.421875	19.328125
1700019B03Rik	21.328125	21.296875	21.28125	21.5	21.03125	20.578125
1700019D03Rik	24.9375	31.90625	24.421875	32.4375	25.609375	41.59375
1700019M22Rik	20.59375	19.96875	19.9375	20.109375	20.203125	20.046875
1700019N19Rik	21.296875	20.78125	20.78125	22.59375	21.90625	21.203125
1700019O17Rik	25.28125	26.609375	27.9375	26.6875	25.515625	25.75
1700020A23Rik	23.71875	23.375	24.46875	23.703125	24.5	23.359375
1700020D05Rik	23.203125	22.546875	22.6875	22.109375	21.546875	22.5
1700020L24Rik	25.5	28.640625	25.09375	25.515625	22.265625	26.4375
1700020N01Rik	22.390625	23.828125	22.5	24.6875	22.875	23.90625
1700021A07Rik	21.171875	22.84375	20.703125	22.203125	21.203125	20.828125
