	GSM3580178	GSM3580179	GSM3580180	GSM3580181	GSM3580182	GSM3580183	GSM3580184	GSM3580185
Rem2	12	5	10	5	7	2	0	7
Ren1	0	4	2	1	0	0	1	1
Renbp	337	273	232	405	259	310	238	248
Rep15	15	22	19	26	17	25	8	22
Repin1	1134	1068	739	1268	890	981	914	1061
Reps1	173	202	95	200	135	137	88	150
Reps2	19	23	19	63	6	36	2	3
Rer1	1340	1344	1117	1705	1083	1270	1347	1382
Rere	575	553	391	690	437	528	333	463
Rerg	0	0	0	0	0	0	0	0
Rergl	1	0	1	0	0	0	0	0
Resf1	1428	1069	985	1361	1169	1049	639	827
Resp18	0	1	0	0	0	0	0	0
Rest	893	898	659	1048	811	716	677	821
Ret	0	2	7	4	4	1	0	0
Retn	0	0	2	1	2	3	0	0
Retnla	0	0	0	0	0	0	0	0
Retnlb	0	0	1	0	0	0	0	0
Retnlg	3	0	3404	60	1	15	3	1
Retreg1	1176	1152	807	1336	1018	1035	519	681
Retreg2	1277	1040	1055	1359	1096	1235	1001	1077
Retreg3	255	289	192	284	233	231	212	254
Retsat	385	344	339	424	408	375	415	359
Rev1	733	695	634	784	595	612	636	564
Rev3l	388	383	222	243	262	286	264	230
Rex1bd	327	291	270	424	289	251	317	301
Rex2	5	19	7	0	0	18	0	0
Rexo1	550	425	465	635	409	508	443	406
Rexo2	626	552	630	641	608	598	767	732
Rexo4	717	682	604	818	667	785	754	687
Rexo5	96	147	121	223	176	186	124	122
Rfc1	1738	1403	1176	2123	1552	1360	1546	1414
Rfc2	3921	3387	2867	4406	3192	2998	3477	3482
Rfc3	1447	1041	859	1296	854	795	1097	1067
Rfc4	1151	936	901	1127	925	958	1177	1093
Rfc5	2486	2172	1908	2988	2152	2041	2545	2391
Rfesd	149	154	190	170	193	237	100	141
Rffl	519	437	454	551	503	529	377	371
Rfk	1187	1084	906	1312	1050	1027	1033	945
Rflna	6	9	3	11	4	2	7	0
Rflnb	77	71	368	64	44	56	80	51
Rfng	448	423	410	557	387	364	490	350
Rfpl4	0	7	0	0	0	0	0	0
Rfpl4b	0	0	0	0	0	0	0	0
Rft1	230	214	165	367	300	213	194	208
Rftn1	969	946	905	1091	1004	791	1083	938
Rftn2	78	102	91	75	53	68	36	55
Rfwd3	1642	1395	1267	1691	1491	1327	1572	1450
Rfx1	115	157	132	170	138	127	124	162
Rfx2	182	203	199	191	144	154	78	130
Rfx3	262	248	124	333	229	263	119	166
Rfx4	2	2	2	0	0	0	0	0
Rfx5	330	484	321	557	411	410	227	304
Rfx6	0	0	0	0	0	0	0	0
Rfx7	1028	777	706	1034	1036	1038	800	939
Rfx8	20	26	16	30	13	7	5	5
Rfxank	227	261	204	297	207	199	176	205
Rfxap	297	279	278	403	254	292	236	288
Rgcc	180	86	290	146	87	61	82	52
Rgl1	308	300	186	466	232	290	165	226
Rgl2	788	677	775	1008	860	715	641	695
Rgl3	1	1	0	0	0	0	1	1
Rgma	0	0	0	0	0	0	0	0
Rgmb	27	30	32	29	19	22	36	31
Rgn	0	0	0	0	0	2	0	0
Rgp1	396	356	306	452	296	370	292	236
Rgr	0	6	1	1	0	6	0	0
Rgs1	5577	4658	2942	5111	2907	3755	1105	2083
Rgs10	56	67	68	61	25	38	43	44
Rgs11	85	78	71	117	49	52	88	79
Rgs12	483	512	444	658	500	467	342	407
Rgs13	0	0	0	0	0	0	0	0
Rgs14	359	262	423	421	259	297	211	235
