	GSM2087154	GSM2087158	GSM2087156	GSM2087160	GSM2087159	GSM2087161	GSM2087155	GSM2087157
Gm2889	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10568	NA	NA	NA	NA	NA	NA	NA	NA
Cnnm4	5.8671875	5.74609375	5.734375	5.73828125	5.7734375	5.6953125	5.6328125	5.66796875
Cnnm3	6.85546875	7.1796875	7.01953125	6.875	7.35546875	7.25390625	7.1015625	6.9140625
Cox5b	10.765625	10.640625	10.9765625	10.734375	10.671875	10.7265625	10.7890625	10.765625
Zap70	4.4375	4.578125	4.4453125	4.49609375	4.7734375	4.640625	4.53515625	4.6171875
NA	NA	NA	NA	NA	NA	NA	NA	NA
Vwa3b	5.05078125	4.97265625	4.953125	5.1875	4.94140625	4.98046875	5.0390625	4.97265625
Vwa3b	NA	NA	NA	NA	NA	NA	NA	NA
Vwa3b	NA	NA	NA	NA	NA	NA	NA	NA
Vwa3b	NA	NA	NA	NA	NA	NA	NA	NA
Vwa3b	NA	NA	NA	NA	NA	NA	NA	NA
Vwa3b	NA	NA	NA	NA	NA	NA	NA	NA
Vwa3b	NA	NA	NA	NA	NA	NA	NA	NA
Vwa3b	3.673828125	3.435546875	3.513671875	3.5390625	3.51171875	3.47265625	3.564453125	3.62890625
Cnga3	4.54296875	4.62890625	4.51953125	4.61328125	4.56640625	4.55078125	4.44140625	4.5078125
Inpp4a	7.2109375	7.33984375	7.15234375	7.16015625	7.3203125	7.1875	7.25390625	7.19140625
Unc50	8.4921875	8.4453125	8.3671875	8.40625	8.3515625	8.4765625	8.3125	8.3046875
Lipt1	5.41015625	5.109375	5.390625	5.3828125	5.24609375	5.18359375	5.34375	5.64453125
Mrpl30	8.375	8.46875	8.359375	8.25	8.2890625	8.2421875	8.34375	8.2734375
Eif5b	6.88671875	6.94140625	7.03515625	7.0078125	6.890625	6.91796875	6.90625	6.859375
Nms	3.955078125	4.2421875	3.822265625	4.23046875	4.31640625	4.27734375	4.07421875	4.078125
Pdcl3	7.86328125	7.9921875	7.9296875	7.96484375	8.0234375	8.0078125	7.9140625	7.8125
