gene_symbol	GSM914321	GSM914309	GSM914320	GSM914313	GSM914305	GSM914311	GSM914306	GSM914308	GSM914310	GSM914315	GSM914317	GSM914312	GSM914307	GSM914314	GSM914316	GSM914318	GSM914322	GSM914319
1600002H07Rik	69.5625	102.8125	65.5625	112.4375	92.1875	101.1875	97.1875	93.5	101.9375	66.4375	66.625	104.0625	99.875	102.4375	64.75	64.75	70.5	63.96875
1600002K03Rik	68.875	130.875	67.5	124.0	132.5	117.6875	123.375	110.8125	137.0	71.125	68.1875	114.625	126.6875	125.5	66.0	71.8125	67.9375	71.5
1600012H06Rik	97.8125	171.125	99.25	171.875	157.75	164.75	189.375	183.0	181.875	97.4375	103.1875	174.875	171.125	154.625	98.375	98.6875	98.0625	101.1875
1600012P17Rik	53.90625	75.75	56.78125	75.625	71.375	82.5	80.875	72.3125	80.1875	55.125	54.59375	73.5	77.0	77.75	56.0	56.53125	57.21875	53.90625
1600014C10Rik	166.25	309.25	149.125	312.5	283.25	280.0	365.75	359.25	282.75	171.75	172.375	234.25	320.5	269.75	193.875	196.625	142.5	126.5
1600014C23Rik	55.1875	76.75	54.21875	73.6875	76.75	82.9375	74.5625	74.1875	73.6875	56.1875	56.28125	73.3125	75.0625	73.3125	56.0	54.125	55.9375	55.46875
1600015I10Rik	52.59375	72.375	55.96875	68.25	70.1875	70.375	71.875	69.9375	73.875	56.15625	52.625	86.6875	70.125	78.25	53.34375	53.46875	51.71875	51.40625
1600017P15Rik	66.6875	121.8125	61.84375	125.3125	128.875	122.875	124.5	116.1875	127.25	60.9375	61.875	120.375	118.0	136.875	66.25	61.40625	64.9375	64.75
1600029O15Rik	1039.65625	1287.3125	1083.1875	1513.3125	1429.375	1455.125	1510.0625	1355.375	1379.0625	1348.484375	1285.3125	1422.3125	1568.125	1160.9375	998.859375	1170.625	812.5	1387.59375
1700001C02Rik	55.1875	104.25	57.0625	99.875	100.0	109.5625	109.75	102.125	103.5625	59.9375	62.75	95.25	106.0625	105.25	59.875	56.1875	61.1875	63.75
1700001C19Rik	57.625	93.9375	56.0625	94.6875	90.3125	94.5	91.8125	89.9375	93.3125	55.65625	55.71875	88.8125	89.5625	98.5625	57.90625	61.46875	56.375	57.09375
1700001G17Rik	67.8125	102.3125	65.0	101.125	92.0625	105.5	101.75	99.75	96.8125	72.1875	69.0	97.75	100.1875	105.9375	71.625	66.875	61.28125	71.0
1700001J03Rik	57.0625	99.375	58.40625	103.25	92.125	92.4375	80.5625	81.6875	90.9375	57.34375	57.75	98.3125	89.3125	89.4375	55.8125	57.5	61.40625	56.15625
1700001J11Rik	52.65625	86.3125	60.4375	85.125	91.3125	87.9375	87.125	82.9375	86.9375	50.5	59.0	84.4375	81.875	88.9375	54.8125	58.3125	54.6875	69.5
1700001K19Rik	56.5	77.0625	57.90625	76.3125	79.625	80.9375	75.1875	74.8125	77.125	54.5625	54.125	76.375	80.75	86.0	54.78125	54.3125	56.4375	66.4375
1700001K23Rik	56.625	92.0625	56.03125	88.875	92.4375	92.875	91.75	84.6875	90.4375	54.5	55.875	89.75	86.1875	95.0	54.6875	53.875	55.4375	52.4375
1700001L05Rik	64.875	93.5	67.125	91.5	91.0625	92.75	97.125	83.5625	91.625	58.9375	61.8125	92.5	92.875	91.75	60.9375	58.71875	60.59375	92.0
1700001L19Rik	53.40625	75.5	51.25	68.1875	70.75	71.125	67.125	75.75	72.0	55.25	51.28125	67.5625	72.9375	73.75	56.21875	51.53125	53.09375	52.15625
1700001O22Rik	62.34375	97.375	62.28125	96.25	94.6875	91.6875	85.375	82.0625	91.3125	69.25	59.40625	86.4375	87.0	95.1875	65.25	58.59375	61.78125	81.625
1700001P01Rik	49.9375	63.90625	50.125	63.0625	70.125	66.1875	65.3125	68.0	67.0625	53.40625	50.71875	63.21875	60.0625	69.625	55.0625	52.59375	53.96875	52.8125
1700003E16Rik	57.5	75.9375	56.28125	82.125	75.0625	78.4375	68.875	70.1875	74.0625	61.875	58.53125	72.0625	75.5	74.625	58.9375	57.75	57.4375	73.875
1700003E24Rik	56.15625	77.3125	55.375	75.0	73.125	75.5	72.75	74.125	76.5	57.28125	54.84375	72.6875	73.75	74.75	56.53125	55.96875	54.15625	56.46875
1700003F12Rik	74.625	100.4375	66.9375	92.625	101.625	92.5	93.6875	92.875	100.4375	65.4375	65.1875	102.375	104.0625	104.25	66.5625	66.5625	61.75	72.375
1700003H04Rik	50.15625	56.8125	50.6875	56.40625	59.21875	57.125	59.375	57.75	57.53125	51.71875	49.1875	53.125	59.5625	56.15625	50.71875	51.90625	49.90625	48.4375
1700003O11Rik	56.1875	84.4375	55.78125	80.0	74.25	81.75	80.6875	77.9375	79.5	56.03125	54.5	84.375	78.75	80.6875	54.4375	54.28125	53.96875	54.96875
1700006A11Rik	49.71875	55.03125	50.4375	56.65625	56.5	61.46875	55.8125	56.0625	54.40625	50.625	46.9375	57.65625	56.28125	56.59375	48.96875	50.90625	48.625	52.4375
1700006E09Rik	50.3125	62.875	52.875	60.875	62.4375	61.0	55.34375	57.71875	60.125	54.3125	48.09375	59.78125	59.8125	59.1875	52.8125	50.125	51.5625	55.0
1700006J14Rik	56.78125	83.9375	57.4375	80.9375	80.1875	83.375	80.375	80.75	80.625	58.46875	55.78125	79.0625	79.6875	83.0	58.21875	57.5	57.375	80.4375
1700007B14Rik	49.21875	60.90625	52.71875	61.53125	61.0	60.9375	60.3125	61.1875	61.0625	53.53125	50.34375	58.6875	61.03125	66.6875	51.875	51.0	54.53125	53.71875
1700007G11Rik	53.15625	63.5625	52.71875	62.65625	66.125	62.40625	62.75	59.78125	60.5	53.15625	51.375	58.75	62.84375	65.25	52.25	52.875	51.6875	54.5
1700007K09Rik	51.84375	80.625	51.53125	79.8125	72.5	84.125	77.3125	73.5	79.4375	53.75	51.3125	74.5625	77.875	82.125	54.28125	54.5	51.0	54.5
1700007K13Rik	55.78125	78.3125	53.0	78.1875	74.4375	81.0	74.0625	79.75	77.5625	57.0	54.375	72.625	73.625	74.25	55.40625	56.65625	58.125	59.8125
1700008J07Rik	88.0	212.125	74.1875	196.25	198.5	219.25	239.375	202.0	200.625	82.625	85.9375	172.75	212.5	191.625	81.5625	76.0625	78.25	85.5
1700008O03Rik	66.4375	99.25	58.4375	96.0	98.625	99.9375	98.75	100.625	98.9375	59.0625	59.03125	95.9375	97.1875	98.375	60.96875	59.65625	63.09375	61.78125
1700008P02Rik	52.5	64.3125	50.46875	59.5625	59.90625	60.65625	60.15625	59.21875	62.5625	51.625	50.0625	59.0	60.03125	58.4375	51.625	49.84375	52.28125	50.875
1700009J07Rik	53.09375	72.375	54.03125	71.0625	70.125	77.375	72.1875	69.0625	73.9375	54.0	51.0	72.375	69.875	76.5625	52.1875	52.75	51.5	59.4375
1700009N14Rik	53.34375	74.625	52.625	71.0625	68.9375	73.6875	61.5	67.375	65.75	51.78125	51.59375	67.8125	67.375	67.9375	53.125	53.0	48.8125	64.0
1700010B08Rik	56.9375	83.25	56.875	86.4375	83.1875	82.9375	82.3125	87.75	81.9375	57.71875	55.8125	79.6875	80.25	82.5	59.75	57.75	58.25	64.5625
1700010H22Rik	51.65625	61.625	57.125	63.15625	58.6875	62.28125	62.875	57.96875	65.75	50.25	52.0625	61.71875	60.0625	63.96875	53.0625	53.65625	54.15625	54.84375
1700010I14Rik	54.875	74.375	55.71875	75.0	69.3125	64.75	70.25	69.5625	70.75	52.34375	53.0625	72.375	71.8125	75.0	56.03125	55.9375	54.0625	72.0
1700010L04Rik	55.65625	71.6875	54.71875	66.125	63.6875	67.75	65.75	62.8125	63.96875	56.34375	52.71875	65.6875	67.0625	67.0625	51.9375	50.4375	56.03125	51.78125
1700010L13Rik	85.0625	168.75	67.8125	155.375	147.25	164.0	157.75	156.25	155.625	75.1875	77.125	144.75	158.5	147.625	75.375	78.5625	72.8125	75.0625
1700011E24Rik	55.625	72.5	56.21875	65.8125	65.5625	74.4375	66.5	71.6875	68.6875	58.875	53.34375	66.4375	70.8125	72.125	59.28125	54.3125	56.03125	62.4375
1700011H14Rik	58.96875	62.15625	54.5	61.125	61.125	61.71875	61.15625	62.15625	59.28125	58.0	52.90625	60.8125	59.09375	62.125	54.96875	53.84375	54.71875	59.75
1700011I03Rik	51.5625	57.65625	52.15625	58.53125	60.65625	57.46875	63.375	56.21875	57.9375	54.5	50.5625	54.90625	59.8125	59.09375	51.75	56.65625	52.59375	57.71875
1700011L22Rik	53.84375	88.625	54.25	84.5	84.6875	91.9375	88.5	88.0625	86.875	58.15625	53.78125	88.625	84.1875	90.4375	52.65625	53.96875	53.21875	54.96875
1700012A03Rik	55.15625	66.0	55.90625	73.125	68.25	68.0	68.125	71.375	73.0	54.625	53.09375	68.3125	74.875	67.8125	52.71875	53.65625	56.53125	58.4375
1700012B07Rik	57.5	74.375	58.0625	78.25	78.8125	78.125	74.5	77.375	72.4375	61.21875	55.75	76.1875	77.625	77.8125	56.65625	59.5625	58.1875	79.75
1700012B09Rik	51.90625	64.5625	51.5625	65.75	60.75	65.4375	64.0	61.4375	66.875	52.1875	52.8125	62.59375	62.09375	65.3125	54.5625	52.8125	52.09375	53.15625
1700012P22Rik	53.53125	65.375	50.34375	65.8125	65.125	63.59375	65.25	64.9375	64.4375	53.0	50.3125	63.8125	65.6875	65.3125	53.375	53.46875	50.34375	53.5625
1700013D24Rik	53.03125	88.75	53.3125	80.9375	78.0	88.0	86.1875	82.875	85.6875	49.34375	50.6875	83.0	79.1875	87.0	52.15625	54.9375	51.21875	56.5625
1700013F07Rik	57.09375	78.1875	57.875	74.5625	78.875	77.0625	73.4375	71.25	78.75	54.5625	55.40625	77.25	81.9375	81.8125	54.75	56.875	56.15625	77.0
1700013G24Rik	57.34375	88.8125	59.96875	83.5	77.0	88.875	85.3125	80.8125	86.1875	57.8125	56.59375	78.875	84.875	91.9375	59.5	53.78125	59.03125	84.3125
1700013H16Rik	49.9375	57.75	49.21875	56.3125	59.15625	59.5	58.125	58.0625	58.0625	51.21875	48.46875	56.875	57.40625	56.9375	50.0	51.3125	48.96875	51.65625
1700014B07Rik	75.6875	143.875	67.875	119.625	114.4375	142.875	131.625	128.875	133.375	73.25	72.5	125.75	135.75	136.125	75.4375	73.1875	74.0625	70.375
1700014D04Rik	53.59375	71.6875	53.375	67.1875	62.375	70.5	67.3125	67.5625	70.5625	51.1875	54.4375	66.5	63.46875	69.875	51.0	52.625	53.34375	54.9375
1700015E13Rik	53.03125	71.8125	53.90625	81.625	72.375	81.75	75.0	73.9375	75.4375	54.71875	54.75	72.875	76.625	76.6875	55.03125	53.0	54.46875	53.4375
1700016A09Rik	66.4375	153.875	66.8125	145.0	159.0	159.0	152.625	128.125	152.0	65.1875	66.9375	153.0	156.875	152.0	65.3125	66.1875	62.9375	64.25
1700016C15Rik	54.09375	69.625	53.6875	72.8125	65.375	70.0625	68.5625	69.375	68.25	57.25	50.6875	69.375	68.9375	69.0625	54.375	56.21875	56.375	58.4375
1700016D06Rik	50.34375	63.28125	50.65625	59.34375	62.03125	62.875	59.8125	60.34375	63.6875	53.78125	49.53125	61.4375	61.65625	61.75	50.625	51.09375	50.34375	55.34375
1700016D08Rik	63.90625	125.9375	61.4375	115.0	111.875	119.0	113.8125	109.1875	120.0	64.5	63.40625	105.8125	114.8125	126.6875	63.84375	62.40625	60.125	57.78125
1700016H13Rik	53.25	74.625	54.90625	67.1875	73.625	71.625	68.8125	64.5625	68.875	56.4375	54.875	72.9375	70.75	74.75	54.5	56.3125	55.6875	67.5
1700016K19Rik	60.9375	117.6875	60.25	118.4375	114.0625	127.5625	104.75	109.125	112.9375	64.5	64.375	120.25	114.9375	124.9375	63.1875	60.28125	66.0	69.0
1700017B05Rik	89.125	164.0	98.0625	129.5	156.25	148.5	166.875	144.875	142.0	99.875	89.75	151.125	146.625	149.625	91.5625	89.0625	87.375	93.8125
1700017D01Rik	48.53125	53.4375	49.59375	55.15625	55.4375	54.90625	55.59375	51.78125	55.0	51.5	46.4375	50.9375	55.09375	56.09375	50.03125	49.125	50.0	50.75
1700017G19Rik	51.84375	68.8125	54.21875	72.75	70.875	72.25	72.125	70.125	69.9375	55.5	51.96875	71.4375	68.0625	70.4375	51.34375	50.78125	51.65625	52.0625
1700017N19Rik	52.40625	58.09375	53.40625	60.4375	60.28125	59.25	58.4375	56.6875	59.90625	55.28125	50.28125	55.875	56.4375	59.96875	52.28125	50.78125	50.3125	58.8125
1700018A04Rik	48.53125	68.125	53.125	67.6875	71.8125	66.6875	70.75	66.0625	67.25	51.5625	49.75	67.9375	70.3125	71.75	52.03125	51.25	48.65625	54.625
1700018A14Rik	59.28125	88.1875	55.0	89.125	85.0625	86.6875	75.4375	81.375	86.4375	60.5	55.34375	80.625	81.0	85.9375	59.1875	56.9375	51.9375	56.9375
