	GSM4708547	GSM4708548	GSM4708549	GSM4708550	GSM4708551	GSM4708552
Ahcy	711	760	809	991	1134	1088
Ahcyl1	3692	3355	3439	3959	3875	3874
Ahcyl2	895	824	794	1487	2004	1769
Ahdc1	829	888	851	3710	4055	3920
Ahi1	746	592	786	1054	1026	1023
Ahnak	1490	1734	1603	1496	1834	1945
Ahnak2	23	28	10	51	22	50
Ahr	302	356	295	428	436	411
Ahrr	62	26	53	60	89	66
Ahsa1	949	976	830	1336	1157	1226
Ahsa2	873	793	862	936	835	857
Ahsg	14	10	15	5	1	8
Aicda	5	2	2	158	50	123
Aida	1081	1369	1056	1155	1005	1106
Aif1	70	54	72	78	69	101
Aif1l	6	9	3	54	12	38
Aifm1	353	385	275	441	500	437
Aifm2	272	216	257	378	280	306
Aifm3	110	81	86	78	89	128
Aig1	713	770	735	932	749	785
Aim1	173	208	167	445	515	560
Aim1l	79	41	110	90	205	145
Aim2	51	35	28	150	122	148
Aimp1	563	554	501	749	676	824
Aimp2	168	172	153	216	228	205
Aip	650	604	598	1756	1252	1542
Aipl1	27	21	20	50	47	50
Aire	18	37	37	42	62	21
Ajap1	0	2	1	3	0	2
Ajuba	91	188	151	128	149	105
Ak1	578	528	615	869	546	648
Ak2	511	453	467	917	1193	1017
Ak3	751	784	694	1142	1364	1423
Ak3l2-ps	0	0	0	0	0	0
Ak4	7	11	8	23	32	26
Ak5	77	64	93	73	47	56
Ak6	593	575	612	857	702	873
Ak7	13	14	9	17	11	8
Ak8	10	21	13	22	18	11
Ak9	14	15	17	16	6	22
Akain1	181	140	149	264	170	232
Akap1	393	337	335	432	480	397
Akap10	286	256	322	481	445	459
Akap11	1799	1472	1871	3013	2682	2874
Akap12	308	351	289	270	293	325
Akap13	2265	2299	2316	3022	2948	3280
Akap14	0	1	2	0	6	2
Akap17b	209	178	166	344	286	310
Akap2	596	615	705	591	610	685
Akap3	6	5	15	92	62	94
Akap4	0	0	0	0	0	0
Akap5	39	37	61	39	59	46
Akap6	148	150	157	193	184	230
Akap7	250	324	227	331	357	370
Akap8	2032	1855	1959	2106	2466	2368
Akap8l	3361	2920	3308	2454	2605	2449
Akap9	1672	1682	1792	2281	2532	2666
Akip1	130	137	124	191	136	134
Akirin1	1225	1096	1026	1780	1451	1567
Akirin1-ps	0	0	0	2	2	3
Akirin2	445	400	408	627	487	605
Akna	163	107	124	549	486	521
Aknad1	1	0	4	5	1	7
Akp-ps1	1	0	0	8	0	2
Akp3	0	0	1	262	1648	859
Akr1a1	3655	4093	3661	4902	4640	4489
Akr1b10	411	291	359	363	313	399
Akr1b3	819	959	828	1066	994	1027
Akr1b7	2	2	7	7	247	107
Akr1b8	9	20	15	31	79	45
Akr1c12	923	716	794	534	544	621
Akr1c13	622	477	575	521	499	565
Akr1c14	889	596	803	1796	1154	1566
Akr1c18	0	0	0	0	1	0
Akr1c19	601	534	608	391	327	356
Akr1c20	0	0	2	0	0	0
Akr1c21	2	1	3	10	12	6
Akr1c6	0	0	9	0	0	0
Akr1cl	10	11	17	17	27	26
Akr1d1	18	26	20	15	12	6
Akr1e1	331	302	303	417	363	409
Akr7a5	347	293	362	529	559	471
Akt1	2138	2184	2022	2558	2249	2322
Akt1s1	859	868	751	818	851	757
Akt2	1535	1405	1561	1704	1555	1584
Akt2-ps	0	3	2	6	12	1
Akt3	1177	1052	1130	1717	1296	1542
Aktip	768	771	708	867	799	782
Alad	413	277	415	490	430	438
Alas1	410	371	368	541	744	552
Alas2	27	11	30	64	31	38
Alb	178	45	137	101	30	54
Alcam	1334	1147	1262	4033	2558	3456
