gene_symbol	GSM3526024	GSM3526021	GSM3526026	GSM3526022	GSM3526025	GSM3526027	GSM3526020	GSM3526023
ABHD12	8.986979166666666	8.924479166666666	9.174479166666666	8.958333333333334	9.442708333333334	9.408854166666666	9.216145833333334	8.7734375
ABHD13	5.32421875	6.068359375	6.0078125	4.880859375	5.248046875	5.09375	5.115234375	6.111328125
ABHD14A	9.3125	9.296875	9.203125	9.40625	9.1015625	9.09375	9.4296875	9.1171875
ABHD14A-ACY1	8.9296875	9.625	9.265625	9.3125	8.71875	8.7890625	9.1875	9.296875
ABHD14B	9.8515625	10.1015625	9.921875	10.21875	9.6328125	9.7734375	10.0390625	9.859375
ABHD15	7.609375	7.35546875	7.0	7.75	7.89453125	7.74609375	8.15625	7.37109375
ABHD16A	7.3203125	7.2734375	7.755859375	7.689453125	7.6171875	7.53515625	7.48046875	7.38671875
ABHD16B	5.70703125	5.41796875	5.73046875	5.734375	5.82421875	5.84375	6.02734375	5.5078125
ABHD17A	10.546875	10.2890625	10.4453125	11.03125	10.671875	10.59375	11.0078125	10.3046875
ABHD17B	6.723958333333333	6.680989583333333	6.634114583333333	6.723958333333333	6.904947916666667	6.8359375	6.729166666666667	6.6796875
ABHD17C	8.625	8.8125	8.8984375	8.296875	8.0	8.078125	8.4140625	8.6640625
ABHD18	5.984375	6.411458333333333	6.4921875	5.967447916666667	5.934895833333333	6.080729166666667	5.997395833333333	6.436197916666667
ABHD2	7.516927083333333	7.24609375	6.767252604166667	7.889973958333333	7.841145833333333	8.307942708333334	7.475260416666667	7.559895833333333
ABHD3	6.97265625	7.27734375	7.3515625	6.546875	6.46875	6.3984375	6.8125	7.03125
ABHD4	9.0625	9.13671875	9.29296875	9.0703125	8.5859375	8.76953125	9.109375	8.80859375
ABHD5	6.47216796875	7.25146484375	7.27099609375	6.560546875	6.71728515625	6.8876953125	6.6494140625	6.76708984375
ABHD6	6.341796875	6.4453125	6.4384765625	6.638671875	6.5087890625	6.646484375	6.3173828125	6.6240234375
ABHD8	6.2890625	6.328125	6.171875	6.1796875	6.26953125	6.42578125	6.4140625	6.33984375
ABI1	7.436197916666667	7.3828125	7.430989583333333	7.289713541666667	7.221354166666667	7.248697916666667	7.295572916666667	7.388020833333333
ABI2	7.090087890625	6.943603515625	7.0	7.053466796875	7.07763671875	7.029541015625	7.207763671875	7.09130859375
ABI3	7.20703125	7.13671875	6.94140625	7.1640625	7.20703125	7.13671875	7.16015625	6.9296875
ABI3BP	8.501302083333334	7.552083333333333	7.3125	7.58203125	7.497395833333333	7.595052083333333	7.893229166666667	7.90234375
ABL1	10.421875	10.0	9.828125	10.7578125	10.6640625	10.859375	10.578125	10.125
ABL2	8.345052083333334	8.602864583333334	8.436197916666666	8.69921875	8.6953125	8.790364583333334	8.588541666666666	8.678385416666666
ABLIM1	8.14453125	7.708984375	7.76953125	7.328125	7.822265625	8.013671875	8.046875	7.185546875
ABLIM2	5.921875	5.70703125	5.86953125	6.0953125	5.9953125	6.00234375	5.86015625	5.71796875
ABLIM3	9.8515625	9.65625	9.4765625	9.609375	9.59375	9.796875	9.796875	9.6015625
ABO	6.462239583333333	6.239583333333333	6.295572916666667	6.845052083333333	6.743489583333333	6.759114583333333	6.670572916666667	6.509114583333333
ABR	6.91015625	6.7421875	6.77734375	7.186197916666667	6.727864583333333	6.733072916666667	6.876302083333333	6.881510416666667
ABRA	3.59765625	3.6455078125	3.5576171875	3.7236328125	3.4970703125	3.6611328125	3.6279296875	3.490234375
ABRACL	10.09375	10.3671875	10.5234375	10.265625	10.1328125	9.6875	10.21875	10.484375
ABT1	8.6875	8.78125	8.8359375	8.921875	8.5703125	8.7734375	8.8359375	8.8671875
ABTB1	5.996875	5.95625	6.2359375	6.2546875	6.13515625	6.16640625	6.078125	5.921875
ABTB2	7.21484375	7.095703125	7.3828125	7.591796875	7.427734375	7.48828125	7.25390625	7.095703125
ACAA1	9.625	9.57421875	9.63671875	9.8828125	9.86328125	9.91015625	9.69140625	9.63671875
ACAA2	8.125	8.12109375	7.981770833333333	8.111979166666666	8.015625	8.071614583333334	8.36328125	8.268229166666666
ACACA	8.205078125	8.552734375	8.591796875	8.369140625	8.216796875	8.228515625	8.3046875	8.62890625
ACACB	5.676339285714286	5.623046875	5.664341517857143	5.793247767857143	5.7265625	5.690848214285714	5.751674107142857	5.753348214285714
ACAD10	5.5751953125	5.52685546875	5.53173828125	5.6767578125	5.70068359375	5.64697265625	5.6259765625	5.5693359375
ACAD8	7.95703125	8.34375	8.046875	8.125	7.5703125	7.64453125	8.140625	8.265625
ACAD9	7.306640625	7.412109375	7.34765625	7.404296875	7.25390625	7.484375	7.35546875	7.302734375
ACADL	5.177734375	5.896484375	5.67578125	4.76171875	5.236328125	5.251953125	4.625	5.298828125
ACADM	8.7421875	9.2109375	9.15625	7.875	8.375	8.328125	8.203125	9.1171875
ACADS	7.20703125	7.1328125	7.53125	7.4765625	7.53515625	7.3046875	7.625	7.21484375
ACADSB	6.751953125	7.279296875	7.21875	6.205078125	6.31640625	6.357421875	6.4140625	7.3828125
ACADVL	11.265625	10.9921875	10.9375	11.203125	11.15625	11.21875	11.390625	11.0390625
ACAN	8.638671875	7.2919921875	7.6650390625	7.0341796875	7.8671875	6.6181640625	8.2626953125	7.1259765625
ACAP1	6.708333333333333	6.545572916666667	6.661458333333333	6.680989583333333	6.75	6.78515625	6.6484375	6.356770833333333
ACAP2	6.572916666666667	7.004557291666667	6.765625	6.100911458333333	6.518229166666667	6.436197916666667	6.392578125	6.643229166666667
ACAP3	7.130859375	7.142578125	7.013671875	7.546875	7.189453125	7.4296875	7.294921875	7.125
ACAT1	6.259114583333333	6.468098958333333	6.361328125	6.193359375	6.39453125	6.529947916666667	6.287109375	6.596354166666667
ACAT2	9.4140625	9.484375	9.9609375	9.125	9.203125	9.0546875	9.109375	10.4453125
