gene_symbol GSM2310360	GSM2310361	GSM2310362	GSM2310363	GSM2310364	GSM2310365	GSM2310366	GSM2310367
ABCC9	20.47272	29.343712	23.193043	20.556316	24.536451	21.89656	23.000547	19.64511
ABCD1	3149.5222	4341.9185	3174.6428	3699.2249	3075.3044	3961.557	3524.419	4211.207
ABCD3	993.2714	1098.2954	1049.0032	863.3367	904.8077	1042.9801	1254.119	1032.9114
ABCD4	1043.763	1994.0131	1267.4185	1644.9493	1281.8398	1843.7676	1686.0781	1731.7692
ABCE1	4600.7036	3796.1687	4840.2397	3187.451	4529.472	3380.3853	5201.7827	3796.6306
ABCF1	18061.973	19708.691	19842.67	16677.691	17793.203	18286.424	21387.744	18770.537
ABCF2	4070.0435	3884.7188	4192.378	3514.8057	3966.3337	3552.997	4687.661	3899.2085
ABCF3	8718.1455	10307.962	9018.006	8890.528	8784.957	9246.057	10002.53	9612.302
ABCG1	32.35759	25.51117	26.410847	63.954243	69.64228	85.57655	84.40677	63.076515
ABCG2	196.77885	414.63272	204.32132	346.8657	203.23802	398.36816	227.78247	320.4282
ABCG4	77.725464	135.58243	73.24853	127.747635	58.952484	126.5064	68.52101	110.34433
ABCG8	19.77927	26.252548	20.860653	18.68563	22.7308	20.218967	21.132933	17.746426
ABHD1	88.94973	213.67976	86.60652	165.51149	95.72345	660.1869	45.88781	157.46956
ABHD11	9903.31	11318.15	12013.145	9567.154	10357.166	10314.369	15395.846	11442.16
ABHD11-AS1	41.59572	49.490093	35.759518	46.447975	27.289963	43.687126	43.362026	35.883896
ABHD12	2148.954	5065.5938	2298.0627	4519.3784	2097.542	4772.828	2664.4014	4585.4316
ABHD14A	6393.8804	12525.439	6542.463	10484.153	6201.1455	11785.139	6865.9565	9961.508
ABHD14B	1924.4312	3143.1663	2039.7665	2777.9373	1805.344	2849.2869	2279.2275	2993.2178
ABHD15	1079.337	1597.6547	1118.833	1330.5145	1011.7047	1460.2688	1218.6033	1277.1466
ABHD16A	448.42963	743.75366	472.95874	658.9835	446.0506	708.19055	528.24243	746.8234
ABHD17A	4753.339	6131.3228	5102.6567	4380.952	4656.93	5487.0205	5296.553	4897.4707
ABHD17B	5586.0684	6053.9004	5742.4688	4607.7007	5223.201	5547.7935	7628.2563	6191.0005
ABHD17C	936.90466	1472.5426	903.61584	1233.6161	879.20685	1383.0236	984.83417	1208.8655
ABHD18	231.36606	340.52576	259.08154	285.61057	222.3544	304.33258	263.9582	272.8297
ABHD2	726.7358	669.00397	728.3671	593.5628	666.9807	611.0271	758.04974	549.8135
ABHD3	726.23346	1009.41406	770.02594	906.3557	716.18005	904.5231	891.6325	858.09595
ABHD4	659.66864	1176.48	671.0573	1032.2943	610.5487	1050.9028	772.1025	1366.7534
ABHD5	3462.284	3860.4663	3922.1045	3173.3755	3524.5728	3535.344	4925.844	3614.6594
ABHD6	5685.649	12900.377	5994.946	10848.039	5351.876	11874.952	6130.6094	9562.918
ABHD8	12012.112	19741.719	12790.661	16458.182	12228.396	18248.736	13885.8125	15782.011
ABI1	698.56836	1004.63586	701.58655	814.1487	689.14294	907.0246	762.1755	849.889
ABI2	1286.9307	1572.8635	1178.6549	1504.9552	982.5992	1391.3883	1268.1233	1380.2233
ABI3	105.97268	130.69229	138.90651	148.78133	94.09947	168.09758	108.24981	103.94919
ABI3BP	19.740488	26.826685	21.310558	19.063522	23.207758	20.615932	21.589989	18.162241
ABITRAM	1756.1277	1998.9635	1521.2284	1670.7307	1604.3273	1895.7747	1984.5308	1626.9352
ABL1	2109.3928	3089.1611	2767.0784	2669.1946	2694.6045	2860.022	2929	2929.3716
ABL2	4676.29	3762.1116	5609.236	3381.2544	4905.1426	3439.0176	6103.925	4725.721
ABLIM1	21620.713	32138.36	24082.578	26066.176	22103.611	29636.652	27669.703	24927.879
ABLIM2	45.67998	113.873695	46.50378	99.41464	54.31725	110.369095	65.05288	98.81198
ABLIM3	2732.2495	4431.0234	3469.613	3775.7522	2961.2234	4161.099	3818.1113	4046.3508
ABR	30981.652	53279.33	32636.652	45691.195	28478.668	48369.547	35233.125	45192.527
ABRA	19.852238	26.67275	21.072329	18.80458	23.00178	20.42954	21.476732	17.817215
ABRACL	12382.197	14843.571	14095.915	12043.685	12063.03	13867.906	16225.843	12114.894
ABRAXAS1	299.80972	542.5974	360.56982	483.32956	327.58475	499.74286	325.278	451.82706
ABRAXAS2	848.56305	900.7985	815.39014	751.13727	800.2612	839.8514	903.2325	809.2413
ABT1	523.51337	610.8474	1078.2915	524.49713	510.81036	781.4833	604.9204	492.33084
ABTB1	1039.5708	3360.6094	1107.2405	2896.811	1059.836	3070.1047	1227.052	2984.6921
ABTB2	8632.504	15172.203	9657.183	12460.917	8797.608	13570.513	11891.707	14916.023
ACAA1	8714.458	12258.115	9843.8955	9649.991	8222.681	10565.47	10668.735	10341.698
ACAA2	6391.7974	10348.119	6699.355	7354.3994	6073.798	9398.934	7653.0454	7015.596
ACACA	11457.328	10079.958	12498.039	8394.556	11403.545	8799.808	12880.421	7889.0757
ACACB	464.08365	876.5798	522.61786	677.92487	494.23743	781.939	541.31915	720.8885
ACAD10	1129.9006	1310.2965	1127.0302	1350.091	1013.69495	1264.5564	995.31683	1235.3525
ACAD11	254.47392	399.20724	296.36716	372.9058	258.09354	361.1471	272.91486	348.13947
ACAD8	244.24217	285.78168	239.11578	282.337	223.39388	270.03622	265.1924	294.7471
ACAD9	22420.383	27623.285	25208.357	22386.63	22757.498	25495.428	29826.625	23375.16
ACADL	19.72097	29.833778	23.33281	20.416264	24.645346	21.959892	23.374693	19.827377
ACADM	2973.6443	4489.7773	2791.8787	3907.5066	2528.5896	4199.737	3094.0537	3376.4724
ACADS	185.74352	340.83295	171.79921	294.20206	179.5526	293.88446	192.60399	280.4355
ACADSB	2011.0721	4470.013	1929.7981	3647.425	1741.6317	4527.5684	2008.6077	3523.5781
ACADVL	27567.102	34227.383	30186.395	30160.406	28887.355	30504.979	31308.195	32719.342
ACAN	66.40616	53.42882	61.760468	41.489758	95.0736	57.32392	62.939194	48.93513
ACAP1	20.128113	28.592663	22.717731	20.047989	23.894768	21.394938	22.311901	19.010536
ACAP2	954.37897	1350.3346	927.2266	1195.5891	931.1903	1347.6915	962.30334	1183.7748
ACAP3	16314.433	16641.041	18825.547	16103.463	17234.598	16167.8125	19646.139	14930.555
ACAT1	15995.154	18155.008	17627.186	15059.662	15643.029	17315.63	19254.527	14520.32
ACAT2	20661.9	33620.156	22284.637	27901.35	20252.172	31307.719	25097.305	25968.523
ACBD3	695.8763	540.0496	546.06824	497.39926	944.8414	566.7068	726.81506	577.9003
ACBD4	48.19768	703.7353	42.111435	150.71535	49.67065	125.27652	78.67919	170.36516
ACBD5	2187.8987	2159.4333	1790.8442	2328.6404	1569.542	1980.9697	2085.654	1654.673
ACBD6	24701.906	26839.098	24458.928	21608.682	23287.559	24979.395	29666.662	24093.725
ACBD7	540.04285	453.49344	553.74725	514.1717	578.0023	515.6752	509.89005	467.47852
ACCS	668.0114	1506.973	850.30707	1153.6825	626.35645	1145.4618	742.4156	1330.3324
ACCSL	20.78707	27.191364	21.704824	19.318308	23.697388	20.601404	21.40148	18.20889
ACD	19955.559	19104.848	21059.291	15271.759	20021.398	16982.414	27201.176	17058.742
ACE	486.83176	619.03827	489.14883	569.1876	532.1657	610.5588	524.3629	608.16327
ACER1	85.58694	70.25986	95.064804	67.94743	34.811195	65.04088	48.914303	65.84092
ACER2	103.440506	108.8126	124.999695	123.905785	140.59349	163.57872	163.63052	154.15462
ACER3	160.74493	194.00099	153.6099	215.07376	145.71654	208.21745	170.63696	210.66902
ACHE	228.90405	278.7709	252.23428	256.68033	243.19643	268.29132	267.0086	252.86382
ACIN1	938.4003	943.9137	939.3077	1058.0112	779.4217	861.2675	1100.4471	948.1624
ACLY	2991.5977	2834.9707	2971.7734	2521.8574	2963.9104	2657.3657	3086.5913	2577.4675
ACMSD	19.635345	26.66013	21.307798	18.999512	23.135483	20.543268	21.506262	18.358007
ACO1	3229.094	5339.854	3725.6995	4220.906	3413.163	4948.533	3937.5117	4069.1155
ACO2	14822.353	20896.436	16571.139	17065.014	15708.778	19010.477	19742.45	18243.309
ACOT1	6179.8745	9723.063	6695.4233	7769.936	6708.9097	8842.239	8434.17	8869.0625
ACOT11	628.1095	1112.7583	735.3646	805.8702	658.5023	947.37177	741.7107	791.8004
ACOT12	156.00537	80.150406	157.02982	72.76479	165.30626	86.1671	163.9199	90.15542
ACOT13	22824.133	30874.953	24995.434	26153.613	22649.053	29951.256	27453.135	25079.014
ACOT4	1639.5084	3248.9958	1920.126	2637.8618	1588.874	2945.0618	2002.3134	2730.2778
ACOT7	16051.896	17952.39	16159.81	15408.685	15109.329	17088.426	17254.262	16550.918
ACOT8	1960.1567	1757.6456	2145.2625	1556.4258	2084.1492	1644.4122	2249.7954	1535.2816
ACOT9	16251.616	17719.092	15807.101	14454.624	15032.569	16410.49	18501.553	15060.13
ACOX1	3872.0208	6647.4995	4525.055	5523.321	3820.0806	6373.0605	5039.2427	5511.3765
ACOX2	350.86377	711.675	357.06677	579.0609	339.1377	635.5652	431.47577	485.5985
ACOX3	856.79285	1351.2427	935.22595	1138.1051	813.1375	1245.2362	1056.3473	1210.468
ACOXL	91.58451	145.4376	64.74926	139.89462	53.659294	140.32158	116.782906	143.8788
ACP1	7691.209	14252.989	8656.567	11205.486	7265.643	12871.543	10537.389	13529.48
ACP2	393.10153	561.33496	391.26736	523.16675	352.2926	514.70355	390.66647	490.53116
ACP3	19.662102	26.632774	21.250822	19.001572	23.11908	20.524279	21.46269	18.246538
ACP4	151.21301	162.40524	150.29878	159.03937	126.78757	158.081	77.89587	68.34018
ACP5	144.2658	446.7151	304.03763	307.0261	151.24886	378.05774	163.2974	303.93796
ACP6	241.45273	508.78302	249.58568	422.72974	239.6992	459.9764	285.10297	487.45712
ACP7	3199.4138	3772.247	3179.3052	3252.7263	3239.1528	3494.5874	4008.7292	3273.4639
ACR	188.70314	244.73793	170.43173	222.59831	187.10382	258.3774	219.35416	242.14099
ACRBP	93.32612	99.7965	67.630394	108.98619	75.05928	129.45671	84.81024	90.66584
ACSF2	210.28238	119.67789	225.50679	100.88301	229.67387	92.603584	210.67473	96.74851
ACSF3	1518.2227	2598.1953	1548.8196	2333.8877	1461.3832	2401.8843	1678.8213	2388.933
ACSL1	795.62634	1334.024	872.9472	1165.671	830.396	1246.091	947.72754	1153.369
ACSL3	3375.9702	5901.769	3407.187	4973.779	3159.615	5452.7036	2838.5542	4241.113
ACSL4	1255.0461	1928.3826	1235.2496	1701.7645	1273.7825	1862.4052	1453.5792	1710.2507
ACSL5	314.64948	387.49527	383.48895	367.54453	318.16956	383.54575	416.52963	401.8254
ACSM2A	19.538671	26.361032	21.09255	18.77176	22.854725	20.312628	21.27637	18.210695
ACSM2B	29.116629	29.145485	22.365328	18.924181	41.366375	51.46949	50.437588	35.470604
ACSM5	144.13306	195.83908	180.5353	174.2681	204.55511	215.51987	248.3117	194.24501
ACSM6	42.789112	29.282616	26.339043	35.511963	27.266945	37.56121	36.990566	24.81272
ACSS1	1516.738	3258.9526	1799.105	2746.5535	1636.6963	2936.2676	1852.3986	2597.371
ACSS2	791.53564	2242.815	873.38763	1903.1023	808.1401	2022.5763	874.4552	1906.0862
ACTA2	32.601166	56.663467	29.859327	62.76874	32.99232	63.986126	32.88867	66.19596
ACTB	423831.28	434830.3	451162.9	423237.16	454770.4	432844.62	471562.6	407656.72
ACTBL2	3754.5095	3328.3867	3937.3972	3418.2817	3992.5208	3288.007	4359.3926	3346.0723
ACTC1	20.590302	27.29358	21.819317	19.30477	23.556084	20.664907	21.456228	106.9674
ACTG1	129374.31	112109.69	135589.27	91569.664	133522.9	106131.664	151214.78	81364.125
ACTG1P17	67.20604	52.035805	54.64196	62.5407	73.56046	77.42737	80.253204	79.13267
ACTG1P20	199979.6	191169.23	211229.22	168521.56	204269.44	181216.86	214540.69	163901.1
ACTG1P25	4527.485	3610.0078	4101.953	3231.1055	4180.274	3291.913	4827.111	3091.7822
ACTG1P4	32627.723	20877.064	27294.262	17571.215	28323.482	19703.807	35080.23	18469.16
ACTL10	73.33547	74.34138	81.594444	83.351974	99.99767	107.80763	116.709206	98.12313
ACTL6A	14609.243	15621.959	13794.762	12868.234	12787.956	14587.376	15437.19	13350.481
ACTL6B	324.04913	382.38605	303.13153	336.48907	302.6442	323.24323	350.3245	306.0818
ACTL7A	91.55288	90.9535	90.36709	87.43304	87.14182	87.42899	77.65228	71.455124
ACTL7B	19.407867	26.117674	20.869122	18.57353	22.537008	20.030848	21.013628	17.997581
ACTL8	53.272026	45.70445	45.52347	51.9242	63.79042	67.02328	70.18257	72.48982
ACTL9	28.040962	25.501566	25.470383	18.261549	23.72488	27.42147	30.147654	23.08214
ACTN1	17322.041	15548.7295	18143.094	15838.028	16574.424	14733.224	20481.137	14756.948
ACTN3	626.0506	634.2218	576.558	646.09125	525.4389	603.8505	655.6482	603.68286
ACTN4	39025.5	58201.73	43422.598	49623.27	41443.73	53013.45	48973.504	56322.53
ACTR10	217.47728	1189.2667	232.60852	905.77655	258.6324	996.6085	266.62338	968.8348
ACTR1A	6030.2476	7436.504	6600.3765	6503.4277	6139.4097	7028.454	6870.5874	7433.432
ACTR1B	1788.918	4025.2244	1678.7393	3323.629	1528.2455	3473.2847	1783.5797	3530.8271
ACTR2	8436.852	7405.1436	8501.019	6618.9497	7788.9375	7362.6685	9737.684	6717.243
ACTR3	24936.912	35245.26	28275.404	29211.592	25602.79	32299.885	30191.484	30397.629
ACTR3B	974.38464	1244.1337	1081.5195	1038.7307	988.4108	1130.1442	1239.7874	1056.7551
ACTR3BP2	30.40116	25.609184	20.587341	37.560963	32.521988	33.299416	46.164967	39.109528
ACTR3BP5	1019.44714	1196.1267	767.9687	1006.00415	808.2058	978.12823	1390.6104	889.789
ACTR3C	79.86737	110.40331	76.01573	109.0686	58.780838	93.70416	91.351814	112.182724
ACTR5	483.80585	589.2807	506.56143	501.66785	448.73593	506.8478	530.55457	539.1864
ACTR6	965.3686	1526.1849	981.44824	1314.631	895.0889	1418.463	1137.3575	1339.2335
ACTR8	282.19446	300.4448	276.05563	250.51462	262.3779	260.70038	309.00723	284.44186
ACTRT3	178.1967	225.44211	186.06764	193.72849	176.43414	217.5939	210.4946	194.24057
ACVR1	2651.2632	4088.9312	2585.5151	3377.9192	2248.7917	3829.5466	2994.8525	3560.2007
ACVR2A	137.45555	197.81845	131.43347	167.00623	123.13919	214.92453	150.48866	206.23776
ACVR2B	180.29791	698.0209	196.30905	581.87274	138.36938	693.96716	179.6725	618.2396
ACY1	4939.5454	8856.121	5462.993	7304.5684	5018.0615	8018.2856	5832.1855	7985.0786
ACY3	23.702188	27.486877	21.80407	19.43511	23.6911	22.518267	22.10162	18.58897
ACYP1	8477.08	7828.5083	8535.593	6648.352	7584.2163	6400.6846	9537.192	7482.223
ACYP2	1319.3347	927.89557	1387.5701	593.3474	1216.1818	695.3709	1376.8462	621.46014
ADA	58679.406	75209.414	63869.355	61672.6	56344.277	68955.39	68021.69	65276.066
ADA2	38.927357	30.071722	36.89241	21.597824	25.969841	48.44203	22.210674	27.608356
ADAD1	19.959433	25.820276	20.473917	18.396	21.981611	19.513334	20.462221	17.121088
ADAD2	135.80026	125.47696	118.707695	144.97649	139.3944	140.04073	121.37303	114.691696
ADAL	267.17563	233.2782	266.7334	207.83592	238.87099	211.87994	407.89642	307.9827
ADAM10	1980.878	2582.618	1818.637	2157.5369	1650.8501	2403.3232	1962.2543	2067.7463
ADAM11	189.65881	277.10178	194.79091	263.81027	183.7956	263.4436	227.87584	283.35263
ADAM12	90.767365	85.72195	100.34548	94.91533	127.10889	128.34288	132.57408	121.79011
ADAM15	19055.809	30381.258	22752.535	26052.637	20068.424	28041.227	25161.857	25592.146
ADAM17	1691.2263	2442.0203	1768.8525	2069.7388	1608.6143	2333.0256	2304.257	2734.8877
ADAM19	13395.637	19037.553	13431.485	15986.063	12986.5625	17957.209	15627.506	17500.043
ADAM20	19.713867	27.142096	21.592972	19.290419	23.482452	20.85318	21.849209	18.46166
ADAM21	20.38759	28.794523	22.88263	20.2127	24.168621	21.586222	22.52423	19.212791
ADAM22	93.80478	92.97047	91.490204	127.79587	99.25531	115.87042	95.316124	118.20928
ADAM32	19.716238	26.169035	20.828438	18.668352	22.681479	20.173456	21.06728	17.767517
ADAM33	257.20383	254.96744	236.39638	245.41559	354.62418	366.26782	370.68747	345.15985
ADAM3A	19.555578	30.058327	23.2879	20.297354	24.308231	21.675482	23.197567	19.683039
ADAM8	1253.1991	1808.6587	1436.6093	1580.6578	1371.6165	1480.5873	1520.5638	1780.504
ADAM9	133.6776	250.91975	149.7458	227.44739	180.87036	226.58347	151.35716	211.32289
ADAMTS10	180.83192	580.12103	274.63446	720.49023	212.99783	449.79526	363.29416	482.14886
ADAMTS13	281.0178	503.3683	340.9269	428.4981	295.35153	391.38324	312.0526	509.543
ADAMTS14	447.47375	508.81934	559.0121	373.40726	436.26245	381.68347	522.67	392.25818
ADAMTS16	106.224434	185.35623	127.11368	151.43123	119.3632	160.5411	111.51881	149.65353
ADAMTS17	109.31481	80.80549	90.766556	74.579926	104.486404	80.39309	126.39431	74.86684
ADAMTS19	71.39318	75.54883	75.20355	218.58374	123.346565	105.99678	629.5157	77.99152
ADAMTS3	19.57474	28.410822	22.499132	19.906818	24.31499	21.597897	22.79148	19.202068
ADAMTS4	55.847824	72.77836	85.060425	65.65925	51.942875	83.53121	81.25655	30.551802
ADAMTS7	214640.27	220378.25	240627.17	236500.28	223721.9	225141.1	223874	225472.33
ADAMTS7P1	1671.2952	1408.3127	1674.7368	1844.3113	1559.3711	1761.0555	1234.9215	1686.9879
ADAMTS8	19.5114	26.32088	21.05514	18.733631	22.792248	20.251337	21.230469	18.171862
ADAMTSL1	64.583275	61.975113	63.391163	57.346302	57.30706	50.157337	84.65607	69.4214
ADAMTSL2	148.2777	157.3109	109.5245	131.98372	118.68059	134.7143	113.41901	118.1243
ADAMTSL4	629.04816	1077.4009	742.0393	931.85657	650.9118	989.6497	746.5791	919.9954
ADAMTSL5	79000.76	79179.35	80538.55	85983.67	79390.15	79693.22	75968.7	74014.77
ADAP1	506.60394	1074.2135	580.39417	968.56586	494.34558	995.77423	583.20935	968.22723
ADAP2	197.30475	297.77042	185.9976	267.61432	192.26714	288.1458	222.91777	260.53864
ADAR	21146.742	36278.227	24179.898	30775.27	22376.94	32281.762	26467.803	31779.328
ADARB1	1765.3062	1176.1208	2063.5256	1036.0118	1769.2384	972.71014	2051.4077	959.3106
ADARB2	79.80214	140.61737	88.037476	110.6103	106.664024	138.68246	113.169395	106.06018
ADAT1	1166.1141	1488.8796	1287.1187	1381.1031	1165.3127	1366.9874	1430.1652	1416.4409
ADAT2	62618.254	64681.555	61941.684	54721.984	64084.914	63608.13	76150.31	56309.13
ADAT3	3194.779	3516.4834	3306.9514	3177.0193	3121.927	3398.3428	3283.2114	3189.04
ADCK1	273.3236	264.69833	234.13152	181.88974	236.93204	243.9473	238.94829	228.69466
ADCK2	226.75533	254.84116	255.20663	260.2288	238.85709	262.16727	291.51697	233.66936
ADCK5	1087.9451	1812.6456	1296.3285	1573.6425	1130.6208	1561.9233	1183.8124	1669.7504
ADCY3	6581.4414	8397.458	8029.6787	7261.355	7075.2837	7740.2334	8026.4893	6781.0684
ADCY4	386.26794	440.29065	398.23468	426.32654	401.64642	402.81924	390.96332	367.21304
ADCY6	429.59286	611.36163	502.41058	523.2978	451.85513	519.6322	517.3246	517.2032
ADCY7	233.9205	327.7632	229.16379	282.09262	194.89845	333.78787	250.19547	281.19562
ADCY8	19.889004	26.918194	21.49647	18.94874	22.813307	20.2654	21.061813	17.81572
ADCY9	884.0779	1677.5278	867.6241	1389.0192	815.82306	1549.4064	934.8279	1237.166
ADCYAP1R1	57.359325	75.28145	67.14467	67.87531	131.86368	89.60323	90.95401	77.36405
ADD1	177.58064	155.66867	110.91478	191.20964	129.04962	159.39653	159.89912	160.64041
ADD2	19.634872	27.515265	21.755768	19.276749	23.058197	20.532692	21.579308	18.06311
ADD3	2729.5093	3482.4714	2733.5393	3018.424	2511.0234	3309.0615	2584.606	2802.8293
ADGB	19.83293	27.915071	22.163492	19.58749	23.376408	20.871819	21.787624	18.444548
ADGRA2	58.112743	162.41275	82.87725	144.54959	97.76616	154.56909	256.9601	116.20263
ADGRA3	8781.241	10738.344	8947.528	8930.877	8277.478	9893.429	10066.241	8649.857
ADGRB1	635.0415	900.76514	813.19824	800.32837	720.54785	830.2308	825.3547	797.95386
ADGRB2	9546.42	20594.54	10371.349	17909.436	10092.593	18668.264	11029.254	17108.793
ADGRD1	68.854256	75.82513	57.95266	70.94735	67.735176	62.825153	56.282715	76.32726
ADGRD2	110.0819	113.77001	102.22196	148.4375	136.28728	129.01239	143.5975	138.3068
ADGRE1	117.02479	98.86036	107.82809	144.76662	146.54568	146.85197	120.59667	153.94931
ADGRE4P	19.88009	26.540628	21.019976	18.65643	22.527534	19.9646	21.053886	17.403862
ADGRE5	29916.174	45531.125	30736.967	37462.734	28579.09	40383.34	28591.45	36557.938
ADGRF1	19.484655	26.592085	20.606274	18.98938	21.94784	78.6357	354.0206	25.493923
ADGRF5	19.84159	26.759108	21.43697	18.801174	22.591667	20.136398	20.84941	17.782635
ADGRG1	69068.07	31129.975	66620.375	25108.207	62720.164	26713.074	78003.4	29086.885
ADGRG2	1037.1863	1366.8528	1091.8456	1112.2318	930.8063	1266.4972	1129.233	1040.9
ADGRG3	2206.0083	2167.833	1998.6094	2111.3208	1864.3256	2177.0713	1988.005	1877.7289
ADGRG5	37.82976	29.07103	23.04785	20.380428	35.747974	32.43445	38.99004	26.451435
ADGRG6	5569.031	7080.1777	5895.269	6128.7334	5519.919	6458.9736	6617.1826	6347.3135
ADGRG7	21.245378	28.765491	22.624874	20.377378	24.676083	21.465769	22.651115	19.41769
ADGRL1	686.42053	951.2681	830.88306	804.08014	783.9679	880.4288	877.7168	867.4904
ADGRL2	645.1114	1107.9697	684.18805	929.5765	703.7367	1026.2444	794.61664	850.7355
ADGRL4	20.023249	25.675426	20.531681	18.233456	22.083672	19.573484	20.433828	17.10208
ADH5	2113.6528	3806.7305	1970.6334	3080.336	2015.3534	3606.8042	2342.1484	2888.7795
ADH6	20.137896	28.513983	22.670334	20.002478	23.853727	21.349749	22.251291	18.96189
ADHFE1	237.96202	469.25845	322.29227	375.02853	319.91138	423.11917	341.6477	481.48035
ADI1	6688.4473	6821.3013	7250.745	5316.267	6593.203	6265.4775	7703.8535	5316.541
ADIPOR1	4908.665	6949.3203	5209.0054	5589.932	4742.2476	6413.022	5557.873	6287.904
ADIPOR2	7444.747	10876.308	8218.431	8991.03	7823.423	9592.44	9174.119	9908.967
ADIRF	11376.169	11015.366	12072.548	9674.696	11771.708	10272.026	12883.657	9895.025
ADIRF-AS1	278.29736	349.55695	379.64047	290.69855	325.49075	346.22452	421.58307	366.64667
ADK	7641.353	6448.756	8074.8643	5331.248	7654.3813	5823.4946	8767.738	5264.9204
