gene_symbol	GSM2728750	GSM2728754	GSM2728752	GSM2728758	GSM2728756	GSM2728763	GSM2728759	GSM2728762	GSM2728764	GSM2728766	GSM2728765	GSM2728751	GSM2728753	GSM2728757	GSM2728761	GSM2728760	GSM2728755
1110004E09Rik	329.162109375	344.609375	371.8046875	362.6328125	347.259765625	396.49609375	287.27734375	371.87109375	487.6484375	419.52734375	359.65625	340.79296875	251.9296875	362.19140625	404.91796875	285.404296875	421.6015625
1110004F10Rik	639.0	550.5	598.5	482.0	580.5	672.0	485.75	572.0	629.5	457.25	510.0	493.5	571.5	549.0	717.0	798.5	727.5
1110004M10Rik	389.40625	473.0	496.125	357.40625	552.109375	458.3359375	722.75	412.9375	348.09375	300.828125	694.15625	535.71875	470.0703125	590.140625	407.875	561.046875	585.921875
1110006E14Rik	2656.0	2574.0	1551.0	4536.0	1935.0	3340.0	3342.0	2820.0	2580.0	5284.0	2984.0	2774.0	3540.0	2662.0	1906.0	2464.0	2606.0
1110006O24Rik	15.2578125	21.5625	11.2890625	45.84375	21.484375	27.84375	21.3125	14.3828125	32.1875	8.2265625	14.359375	16.8125	66.3125	69.125	10.5	13.6875	40.25
1110008E08Rik	88.5625	35.53125	234.75	90.5	36.875	59.5625	36.15625	99.75	83.9375	150.75	126.0	166.25	30.921875	65.625	72.9375	72.125	51.90625
1110008F13Rik	3832.734375	3977.40625	3231.0	3682.5	4492.578125	4084.3671875	3960.15625	3127.3828125	4806.5625	3931.84375	3211.53125	3318.9296875	2600.8359375	3121.625	4178.6171875	2956.71875	3567.771484375
1110008L16Rik	237.625	324.25	105.8125	131.0	275.5	305.75	286.25	204.25	413.5	93.875	132.5	192.5	330.0	147.0	182.125	147.0	267.5
1110008P14Rik	209.02083333333334	254.33333333333334	415.7916666666667	431.6666666666667	415.703125	306.9791666666667	209.59895833333334	279.375	834.7291666666666	395.4895833333333	313.1875	271.625	222.95833333333334	354.875	290.5	229.39583333333334	405.9166666666667
1110012L19Rik	495.5	475.25	344.75	300.25	559.5	553.0	508.25	444.5	504.0	305.25	444.5	416.5	380.25	271.75	483.0	511.75	465.25
1110014L15Rik	46.59375	34.75	93.4375	61.0	33.9375	51.5625	78.125	85.9375	64.0	23.328125	104.3125	61.4375	56.28125	63.21875	47.75	57.09375	36.84375
1110015O18Rik	11.421875	13.359375	18.765625	2.244140625	3.427734375	10.4140625	1.634765625	16.0625	2.52734375	7.83203125	3.2578125	5.25	2.552734375	3.4765625	2.845703125	22.25	3.259765625
1110017D15Rik	134.375	110.75	124.4375	58.21875	129.875	186.875	115.125	97.9375	347.5	32.59375	166.875	109.4375	114.4375	145.375	116.6875	95.9375	91.0625
1110018N20Rik	36.125	86.5	82.0	139.125	144.0	61.78125	37.5625	70.5625	170.625	163.625	36.375	119.0625	56.0625	100.875	87.375	97.0625	86.875
1110019B22Rik	7.25	36.6875	46.375	21.171875	37.03125	33.65625	47.84375	40.25	11.328125	9.890625	25.09375	4.73046875	24.421875	52.21875	12.28125	8.859375	15.2890625
1110019D14Rik	19.515625	30.734375	25.1875	37.9375	9.71875	7.359375	4.30078125	5.765625	15.4375	6.53515625	4.9453125	4.3046875	12.5390625	5.95703125	16.390625	51.375	6.46875
1110020A21Rik	29.03125	26.9375	16.734375	15.296875	10.890625	19.109375	68.6875	26.515625	79.0625	17.90625	49.34375	55.34375	17.53125	8.0234375	6.08984375	16.5	19.4375
1110020C17Rik	19.609375	96.875	149.25	91.0625	19.53125	149.625	28.609375	24.5	80.125	155.375	35.46875	8.609375	77.25	49.28125	119.625	37.6875	20.359375
1110028F11Rik	39.595703125	14.302734375	35.1796875	91.9453125	47.09375	55.375	27.197265625	17.2373046875	61.96875	15.59765625	47.1796875	29.8916015625	19.728515625	37.08203125	42.765625	23.615234375	31.859375
1110028F18Rik	22.71875	4.17578125	17.75	28.75	45.625	7.54296875	15.3203125	14.796875	25.140625	72.0	12.890625	11.3828125	13.8515625	31.265625	17.265625	83.0625	21.953125
1110032A03Rik	256.8203125	263.59375	191.8671875	287.703125	385.1484375	357.078125	234.44140625	238.0	636.1875	377.19140625	277.953125	217.55078125	222.58203125	241.99609375	230.0	232.3515625	291.5234375
