gene_symbol	GSM1342752	GSM1342755	GSM1342757	GSM1342747	GSM1342753	GSM1342750	GSM1342744	GSM1342748	GSM1342745	GSM1342749	GSM1342751	GSM1342758	GSM1342746	GSM1342754	GSM1342759	GSM1342756
1110059G10Rik	9.03125	8.859375	8.609375	9.1328125	8.7109375	8.8828125	8.8046875	8.9609375	8.8984375	8.921875	8.765625	8.8984375	9.2109375	9.0234375	8.765625	8.71875
1110064A23Rik	4.671875	4.36328125	4.6875	4.22265625	4.90234375	4.51171875	4.59765625	4.2734375	4.74609375	4.34765625	4.421875	4.14453125	4.65625	4.61328125	4.47265625	4.609375
1110065P20Rik	8.484375	8.96875	8.9921875	8.6328125	8.84375	8.75	8.71875	8.578125	8.59375	8.53125	8.5625	9.0546875	8.6875	8.75	8.8203125	9.1328125
1190002N15Rik	6.938802083333333	6.94140625	6.678385416666667	6.99609375	6.904947916666667	6.90625	6.985677083333333	6.96875	6.859375	7.104166666666667	7.0234375	6.58203125	6.891927083333333	6.938802083333333	6.661458333333333	6.52734375
1190003K10Rik	3.30078125	3.45703125	3.3984375	3.583984375	3.90625	3.650390625	3.55859375	3.39453125	3.43359375	3.787109375	3.419921875	3.14453125	3.314453125	3.302734375	3.384765625	3.298828125
1190005I06Rik	6.7421875	7.0625	7.19921875	6.56640625	6.96875	6.87109375	6.43359375	6.85546875	6.6171875	6.91015625	6.75	7.15234375	6.5546875	7.03515625	6.94921875	7.12890625
1190007I07Rik	9.59375	9.6484375	9.7890625	9.6953125	9.6640625	9.6171875	9.6015625	9.6640625	9.796875	9.625	9.65625	9.7890625	9.7734375	9.7421875	9.7734375	9.65625
1200003I10Rik	2.509765625	2.5546875	2.466796875	2.615234375	2.439453125	2.54296875	2.59765625	2.66796875	2.44921875	2.3984375	2.5625	2.45703125	2.638671875	2.845703125	2.669921875	2.46484375
1200007C13Rik	4.23828125	4.81640625	4.23828125	4.77734375	4.6875	4.1875	4.37890625	4.5546875	4.50390625	4.41796875	4.5078125	4.17578125	4.1171875	4.4609375	4.2578125	4.41796875
1300002E11Rik	6.3203125	6.33984375	6.05859375	6.53125	6.625	6.12109375	6.28515625	6.08203125	5.97265625	6.1875	6.2421875	6.1953125	6.50390625	6.32421875	6.18359375	6.25390625
1300014J16Rik	2.859375	2.4453125	3.46484375	2.97265625	2.943359375	3.087890625	3.0546875	3.07421875	3.140625	2.87109375	3.21875	2.978515625	3.015625	2.841796875	2.81640625	3.205078125
1300017J02Rik	12.640625	12.5	12.15625	12.4375	12.6015625	12.484375	12.4609375	12.4453125	12.453125	12.484375	12.453125	12.1953125	12.3984375	12.53125	12.2578125	12.1484375
130004C03	6.828125	6.3046875	5.4921875	6.13671875	6.41796875	5.65234375	6.60546875	6.16015625	5.95703125	6.15625	5.86328125	6.0078125	5.85546875	6.37109375	5.6875	5.67578125
1500002C15Rik	4.7734375	4.89453125	4.93359375	4.51953125	5.12890625	4.9296875	4.9375	4.7578125	4.953125	5.109375	4.9375	4.8984375	5.02734375	4.84375	4.890625	4.875
