	GSM4795609	GSM4795610	GSM4795611	GSM4795612	GSM4795613	GSM4795614
ACOT4	0	0	3	0	0	1
ACOT6	5	0	5	2	2	3
ACOT7	1623	1040	1381	1184	962	1245
ACOT8	438	270	429	343	213	281
ACOT9	2475	1541	2144	1774	1580	1850
ACOX1	1495	993	1207	1013	858	1029
ACOX2	2	1	5	4	0	3
ACOX3	436	266	384	304	281	342
ACOXL	15	10	5	0	3	11
ACOXL-AS1	4	0	3	1	1	1
ACP1	4066	2645	3605	2803	2744	3077
ACP2	676	441	633	451	404	515
ACP3	14	7	7	2	5	5
ACP4	9	7	5	4	3	1
ACP5	296	197	276	278	183	277
ACP6	145	80	108	123	73	98
ACP7	20	17	20	25	15	32
ACR	0	0	0	0	0	0
ACRBP	5	6	3	0	0	8
ACRP1	2	2	0	1	1	0
ACRV1	30	12	16	7	14	9
ACSBG1	14	17	24	8	18	21
ACSBG2	16	2	2	8	12	8
ACSF2	834	481	707	586	433	645
ACSF3	710	468	613	480	369	538
ACSL1	1045	729	868	735	755	800
ACSL3	3002	1825	2620	2171	2202	2492
ACSL3-AS1	0	0	0	0	0	0
ACSL4	7205	5228	6366	4905	5110	5666
ACSL5	813	539	743	564	513	568
ACSL6	5	0	3	0	4	2
ACSL6-AS1	0	0	0	0	0	0
ACSM1	1	0	0	0	1	1
ACSM2A	2	9	2	2	6	0
ACSM2B	28	16	34	15	16	23
ACSM3	151	83	130	114	100	108
ACSM4	2	1	0	1	0	4
ACSM5	18	8	22	15	9	23
ACSM5P1	0	0	0	0	0	0
ACSM6	0	3	3	4	2	0
ACSS1	215	128	176	137	122	158
ACSS2	679	399	616	539	449	512
ACSS3	63	43	51	58	48	65
ACTA1	18	19	27	25	15	25
ACTA2	14	14	7	9	11	17
ACTA2-AS1	1	0	0	2	0	0
ACTB	151289	100645	135631	114707	98541	118339
ACTBL2	156	101	173	167	103	141
ACTBP1	0	1	2	0	0	1
ACTBP11	0	0	2	1	1	0
ACTBP12	0	0	0	0	0	0
ACTBP14	0	0	0	1	0	1
ACTBP15	0	2	0	0	1	2
ACTBP2	0	0	0	1	0	0
ACTBP4	0	2	0	0	0	0
ACTBP6	0	0	1	0	1	0
ACTBP7	9	6	7	8	3	8
ACTBP8	0	0	1	0	0	0
ACTBP9	0	0	0	0	0	0
ACTC1	477	306	407	460	322	417
ACTE1P	2	0	0	0	1	0
ACTG1	102212	67141	91663	80960	66862	80894
ACTG1P1	0	2	0	0	2	2
ACTG1P10	9	13	9	11	12	9
ACTG1P11	0	0	0	0	0	0
ACTG1P12	0	0	0	0	0	1
ACTG1P13	0	0	0	0	1	0
ACTG1P14	19	0	11	1	6	5
ACTG1P15	6	4	9	4	3	4
ACTG1P16	0	0	0	0	0	0
ACTG1P17	12	6	7	3	8	3
ACTG1P18	0	0	0	0	0	0
ACTG1P19	0	0	0	0	0	0
ACTG1P2	0	0	0	0	0	0
ACTG1P20	22	6	12	5	12	4
ACTG1P21	2	0	2	1	0	2
ACTG1P22	1	0	1	0	2	9
ACTG1P23	0	0	0	0	0	0
ACTG1P24	0	0	2	2	2	1
ACTG1P25	19	8	10	27	9	24
ACTG1P3	8	7	14	14	4	12
ACTG1P4	0	2	2	0	0	0
ACTG1P9	1	2	2	0	0	1
ACTG2	42	17	22	26	18	26
ACTL10	12	11	20	24	16	21
