gene_symbol	GSM1429399	GSM1429393	GSM1429397	GSM1429384	GSM1429383	GSM1429400	GSM1429396	GSM1429394	GSM1429385	GSM1429387	GSM1429395	GSM1429398	GSM1429392	GSM1429388	GSM1429401	GSM1429386	GSM1429390	GSM1429382	GSM1429389	GSM1429391
0610039K10Rik	4.8984375	5.1015625	4.80078125	5.1015625	5.19921875	4.8984375	4.8984375	5.19921875	5.19921875	5.0	5.1015625	4.80078125	5.0	5.0	4.80078125	4.69921875	5.0	4.8984375	5.0	5.1015625
0610040B10Rik	5.6015625	5.30078125	6.1015625	5.69921875	5.80078125	5.6015625	6.19921875	5.19921875	5.5	5.80078125	5.30078125	5.5	5.3984375	5.5	6.0	5.8984375	5.6015625	5.80078125	5.6015625	5.1015625
0610040J01Rik	8.796875	8.6015625	8.703125	8.796875	8.703125	8.703125	8.6015625	8.703125	8.703125	8.796875	8.1015625	8.703125	8.6015625	8.796875	8.703125	8.796875	8.796875	8.796875	8.796875	8.8984375
1110002L01Rik	6.5	6.80078125	6.8984375	7.5	7.1015625	6.69921875	6.80078125	6.8984375	7.19921875	7.19921875	6.6015625	7.30078125	6.5	7.1015625	7.0	7.19921875	6.8984375	7.19921875	6.8984375	7.0
1110004E09Rik	6.1015625	5.8984375	6.3984375	6.3984375	6.3984375	6.0	5.80078125	5.8984375	6.30078125	6.30078125	5.80078125	6.1015625	6.1015625	6.30078125	6.0	6.5	6.19921875	6.5	6.3984375	6.1015625
1110004F10Rik	8.5	8.1015625	8.703125	8.5	8.296875	8.5	8.3984375	8.1015625	8.296875	8.3984375	7.8984375	8.203125	8.296875	8.296875	8.703125	8.296875	8.203125	8.296875	8.1015625	8.203125
1110006O24Rik	6.6015625	6.3984375	6.69921875	6.6015625	6.80078125	6.80078125	6.69921875	6.69921875	6.8984375	6.5	6.3984375	6.3984375	6.3984375	6.8984375	6.6015625	6.69921875	6.80078125	6.80078125	6.69921875	6.80078125
1110008E08Rik	5.19921875	5.19921875	5.19921875	5.6015625	5.3984375	5.19921875	5.19921875	5.5	5.80078125	5.69921875	5.30078125	5.1015625	5.3984375	5.3984375	5.3984375	5.5	5.30078125	5.5	6.0	5.30078125
1110008F13Rik	7.69921875	8.296875	7.8984375	7.69921875	7.80078125	7.3984375	7.6015625	8.0	7.6015625	7.5	7.8984375	7.3984375	8.1015625	7.6015625	7.6015625	7.5	8.1015625	7.80078125	7.3984375	8.0
1110008L16Rik	7.19921875	7.30078125	7.30078125	7.1015625	7.19921875	7.30078125	7.3984375	7.30078125	7.0	7.0	7.0	7.3984375	7.19921875	7.1015625	7.5	7.30078125	7.30078125	7.1015625	7.0	7.30078125
1110008P14Rik	5.8984375	6.3984375	6.1015625	6.6015625	6.80078125	6.0	5.69921875	6.3984375	6.6015625	6.5	5.8984375	6.1015625	6.3984375	6.69921875	5.80078125	6.5	6.6015625	6.80078125	6.3984375	6.6015625
1110012L19Rik	5.599609375	5.5	5.6484375	5.849609375	5.548828125	5.599609375	5.5	5.650390625	5.5	5.75	5.451171875	5.599609375	5.5	5.701171875	5.599609375	5.6484375	5.75	5.849609375	5.5	6.0
1110017D15Rik	5.80078125	6.0	5.80078125	5.8984375	5.8984375	5.80078125	5.80078125	5.8984375	6.0	6.19921875	5.69921875	5.80078125	5.80078125	6.0	5.80078125	6.0	6.0	5.8984375	6.1015625	5.80078125
1110020C17Rik	4.8984375	4.5	4.5	4.6015625	4.69921875	4.6015625	4.5	4.6015625	5.0	4.69921875	4.5	4.5	4.6015625	4.80078125	4.5	4.6015625	4.5	4.8984375	4.80078125	4.5
1110032A03Rik	7.5	7.6015625	7.6015625	8.1015625	8.203125	8.1015625	8.0	7.69921875	8.1015625	8.1015625	7.19921875	8.0	7.3984375	8.0	8.1015625	8.0	7.80078125	8.1015625	7.80078125	7.8984375
1110032F04Rik	5.30078125	5.3984375	5.1015625	5.19921875	5.19921875	5.0	4.8984375	5.6015625	5.5	5.0	5.5	4.80078125	5.6015625	5.1015625	5.0	5.3984375	5.30078125	5.5	5.5	5.19921875
1110034G24Rik	6.30078125	6.69921875	6.3984375	6.80078125	7.1015625	6.5	6.6015625	6.80078125	6.8984375	6.80078125	6.6015625	6.6015625	6.30078125	6.6015625	6.3984375	6.69921875	7.0	6.8984375	6.69921875	7.0
1110035H17Rik	5.19921875	5.1015625	5.30078125	5.6015625	5.5	5.19921875	5.3984375	5.30078125	5.69921875	5.5	5.19921875	5.30078125	5.1015625	5.5	5.30078125	5.3984375	5.30078125	5.1015625	5.3984375	5.5
1110037F02Rik	8.033854166666666	8.1328125	8.166666666666666	8.1015625	8.0	8.1328125	7.967447916666667	8.033854166666666	7.967447916666667	8.067708333333334	8.033854166666666	8.533854166666666	8.033854166666666	8.098958333333334	8.1328125	8.234375	8.098958333333334	8.033854166666666	7.901041666666667	8.166666666666666
1110038F14Rik	7.5	7.30078125	7.5	7.5	7.5	7.30078125	7.5	7.30078125	7.30078125	7.19921875	7.1015625	7.1015625	7.3984375	7.3984375	7.69921875	7.19921875	7.30078125	7.3984375	7.1015625	7.69921875
1110051M20Rik	7.1015625	7.1015625	7.3984375	7.30078125	7.3984375	7.5	7.1015625	7.1015625	7.3984375	7.30078125	6.8984375	7.5	7.0	7.3984375	7.3984375	7.30078125	7.19921875	7.30078125	7.19921875	7.30078125
1110059E24Rik	7.3984375	6.8984375	7.30078125	7.5	7.5	7.3984375	7.1015625	7.19921875	7.30078125	7.3984375	6.69921875	7.19921875	6.8984375	7.5	7.3984375	7.30078125	7.0	7.19921875	7.19921875	7.30078125
1110059G10Rik	6.30078125	6.1015625	6.6015625	6.3984375	6.30078125	6.30078125	6.19921875	6.1015625	6.0	6.30078125	6.0	6.5	6.0	6.1015625	6.6015625	6.1015625	6.19921875	6.30078125	5.80078125	6.30078125
1110065P20Rik	8.203125	8.6015625	8.296875	8.3984375	8.5	8.296875	8.1015625	8.296875	8.296875	8.203125	8.203125	8.203125	8.3984375	8.296875	8.3984375	8.203125	8.203125	8.5	8.3984375	8.296875
1190002N15Rik	6.1015625	6.1015625	6.1015625	6.1015625	6.0	6.0	6.0	6.19921875	6.1015625	6.1015625	6.1015625	6.0	6.30078125	6.1015625	6.1015625	6.1015625	6.30078125	6.0	6.0	6.19921875
1190005I06Rik	5.6015625	5.80078125	5.69921875	6.0	6.1015625	5.8984375	5.8984375	5.8984375	6.30078125	6.19921875	5.80078125	5.5	5.69921875	6.30078125	5.8984375	6.19921875	5.8984375	6.0	6.19921875	5.69921875
1190007I07Rik	5.80078125	6.1015625	6.19921875	6.1015625	6.3984375	6.19921875	5.80078125	5.80078125	6.5	6.1015625	5.8984375	5.80078125	6.5	6.19921875	5.5	6.0	5.8984375	6.30078125	6.0	6.19921875
1300017J02Rik	5.30078125	5.19921875	5.19921875	5.30078125	5.3984375	5.19921875	5.0	5.6015625	5.3984375	5.69921875	5.5	5.19921875	5.5	5.3984375	4.69921875	5.3984375	5.19921875	5.6015625	5.6015625	5.5
1500002C15Rik	6.55078125	6.6015625	6.5	6.900390625	6.75	6.6015625	6.75	6.701171875	6.951171875	6.8515625	6.650390625	6.44921875	6.55078125	7.0	6.5	6.75	6.798828125	6.900390625	6.8984375	6.69921875
1500002F19Rik	4.30078125	4.1015625	4.19921875	3.900390625	4.19921875	4.5	4.0	4.1015625	4.1015625	3.80078125	4.30078125	4.1015625	4.0	3.900390625	4.3984375	4.0	3.900390625	3.69921875	4.0	4.19921875
1500009C09Rik	6.19921875	6.1015625	6.0	6.0	6.1015625	6.1015625	6.1015625	6.3984375	6.30078125	6.19921875	6.19921875	6.1015625	6.30078125	6.3984375	6.19921875	6.19921875	6.30078125	6.30078125	6.5	6.0
1500011B03Rik	7.30078125	7.30078125	7.30078125	7.6015625	7.3984375	7.19921875	7.0	7.3984375	7.3984375	7.30078125	7.0	7.1015625	7.19921875	7.30078125	7.30078125	7.5	7.3984375	7.6015625	7.3984375	7.5
1500011K16Rik	7.3984375	7.30078125	7.5	7.5	7.69921875	7.5	7.19921875	7.3984375	7.5	7.30078125	7.0	7.5	7.1015625	7.5	7.69921875	7.3984375	7.6015625	7.3984375	7.0	7.69921875
1500015L24Rik	4.5	4.30078125	4.30078125	4.30078125	4.19921875	4.6015625	4.6015625	4.3984375	4.6015625	4.6015625	4.5	4.30078125	4.30078125	4.30078125	4.30078125	4.5	4.30078125	4.5	4.80078125	4.0
1500015O10Rik	6.80078125	6.6015625	7.3984375	5.6015625	5.6015625	6.5	6.3984375	6.5	5.8984375	5.5	7.69921875	5.8984375	8.0	5.69921875	6.8984375	5.6015625	6.6015625	5.6015625	5.8984375	6.5
1500035N22Rik	5.5	5.80078125	5.6015625	6.0	5.5	5.80078125	5.69921875	5.69921875	5.80078125	5.6015625	5.3984375	5.5	5.6015625	5.80078125	5.3984375	5.8984375	5.80078125	5.6015625	6.0	5.6015625
1520401A03Rik	5.8984375	5.8984375	6.1015625	6.1015625	6.5	6.1015625	6.0	6.1015625	6.5	6.30078125	6.19921875	5.8984375	6.19921875	6.30078125	5.8984375	6.30078125	6.0	6.30078125	6.6015625	6.0
1600002H07Rik	6.30078125	6.1015625	6.30078125	6.3984375	6.5	6.30078125	6.30078125	6.3984375	6.3984375	6.1015625	5.8984375	6.3984375	6.1015625	6.5	6.30078125	6.3984375	6.19921875	6.3984375	6.5	6.30078125
1600002K03Rik	6.5	6.6015625	6.69921875	6.80078125	7.0	6.3984375	6.69921875	6.80078125	6.8984375	6.6015625	6.19921875	6.0	6.6015625	6.80078125	6.3984375	6.6015625	6.80078125	6.80078125	6.80078125	6.69921875
1600012H06Rik	7.0	7.5	7.1015625	7.1015625	7.1015625	7.0	7.0	7.3984375	6.8984375	7.0	7.3984375	7.3984375	7.1015625	7.1015625	7.0	7.19921875	7.30078125	7.1015625	6.80078125	7.3984375
1600012P17Rik	5.19921875	5.19921875	5.1015625	5.5	5.30078125	5.1015625	5.30078125	5.30078125	5.3984375	6.0	5.19921875	5.1015625	5.1015625	5.3984375	5.1015625	5.5	5.19921875	5.3984375	5.5	5.3984375
1600014C10Rik	7.30078125	7.3984375	7.5	7.3984375	7.3984375	7.5	7.30078125	7.30078125	7.3984375	7.19921875	7.0	7.3984375	7.30078125	7.3984375	7.6015625	7.3984375	7.30078125	7.5	7.3984375	7.3984375
1600014C23Rik	4.6015625	4.8984375	4.80078125	4.69921875	4.69921875	4.6015625	4.69921875	4.69921875	5.0	4.3984375	5.0	4.6015625	5.0	5.0	4.80078125	4.69921875	4.6015625	4.6015625	5.0	4.69921875
1600015I10Rik	5.19921875	4.69921875	4.80078125	5.1015625	5.0	4.5	4.6015625	4.8984375	4.8984375	5.1015625	4.80078125	4.69921875	4.8984375	5.0	4.80078125	5.1015625	4.69921875	5.1015625	5.19921875	4.5
1600017P15Rik	6.6015625	6.8984375	6.6015625	6.69921875	6.69921875	6.69921875	6.69921875	6.8984375	6.8984375	6.8984375	6.80078125	6.6015625	6.80078125	7.0	6.6015625	7.0	6.8984375	7.0	7.1015625	6.80078125
1600029O15Rik	8.8984375	8.3984375	8.90234375	8.6484375	8.30078125	8.998046875	8.8515625	8.701171875	8.548828125	8.3515625	8.701171875	8.59765625	8.548828125	8.451171875	8.65234375	8.048828125	8.6015625	8.201171875	8.55078125	8.701171875
1700001C02Rik	6.0	6.5	6.19921875	6.30078125	6.19921875	6.30078125	6.19921875	6.6015625	6.30078125	6.6015625	6.30078125	6.0	6.5	6.5	6.19921875	6.5	6.6015625	6.3984375	6.5	6.3984375
1700001C19Rik	5.1015625	5.0	4.80078125	5.19921875	5.0	4.8984375	4.80078125	5.0	5.30078125	5.0	5.0	4.80078125	4.8984375	5.1015625	5.0	5.3984375	5.0	5.1015625	5.3984375	5.19921875
1700001G17Rik	5.80078125	6.0	6.0	5.69921875	5.80078125	5.8984375	6.0	5.80078125	5.8984375	5.80078125	5.80078125	5.6015625	5.8984375	6.0	6.1015625	5.80078125	5.80078125	5.80078125	6.0	5.8984375
1700001J03Rik	5.5	5.5	5.5	6.0	5.69921875	5.6015625	5.69921875	6.0	6.30078125	5.80078125	5.80078125	5.5	5.69921875	6.1015625	5.80078125	5.69921875	5.6015625	5.69921875	5.80078125	5.80078125
1700001J11Rik	4.80078125	5.30078125	4.3984375	4.8984375	5.0	4.19921875	4.5	4.8984375	5.1015625	4.8984375	5.1015625	5.1015625	5.19921875	5.19921875	4.6015625	5.19921875	4.80078125	4.80078125	5.19921875	5.30078125
1700001K19Rik	5.30078125	5.3984375	4.8984375	5.19921875	5.5	4.8984375	5.1015625	5.19921875	5.3984375	5.3984375	5.30078125	5.3984375	5.30078125	5.19921875	5.0	5.30078125	5.30078125	5.6015625	5.6015625	5.3984375
1700001K23Rik	5.19921875	5.0	4.80078125	5.1015625	5.19921875	4.8984375	4.8984375	5.5	5.5	5.5	5.3984375	4.8984375	5.30078125	5.6015625	4.8984375	5.3984375	5.19921875	5.30078125	5.6015625	5.1015625
1700001L05Rik	6.19921875	6.1015625	6.0	6.30078125	6.30078125	5.8984375	5.8984375	6.0	6.30078125	6.0	5.80078125	5.8984375	6.0	5.8984375	5.80078125	6.1015625	6.1015625	6.1015625	6.0	6.19921875
1700001L19Rik	4.69921875	4.80078125	5.0	4.80078125	5.0	5.0	4.6015625	4.6015625	4.80078125	4.8984375	4.5	4.80078125	4.69921875	5.1015625	5.1015625	5.0	4.69921875	4.80078125	5.0	4.8984375
1700001O22Rik	5.69921875	5.6015625	5.19921875	5.6015625	5.6015625	5.3984375	5.30078125	5.3984375	5.6015625	5.5	5.3984375	5.19921875	5.6015625	5.5	5.19921875	5.30078125	5.30078125	5.5	5.69921875	5.19921875
1700001P01Rik	4.1015625	4.5	4.30078125	4.19921875	4.19921875	4.19921875	4.3984375	4.30078125	3.900390625	4.19921875	4.30078125	4.0	4.0	3.69921875	4.1015625	4.0	4.19921875	4.1015625	4.19921875	4.1015625
1700003E16Rik	5.30078125	4.8984375	4.80078125	5.0	5.30078125	5.30078125	5.19921875	5.19921875	5.5	5.19921875	5.1015625	5.0	5.1015625	5.19921875	5.0	5.30078125	5.30078125	5.0	5.3984375	4.8984375
1700003E24Rik	4.900390625	4.798828125	4.599609375	5.298828125	5.25	4.951171875	4.849609375	5.099609375	5.451171875	5.599609375	5.0	4.650390625	5.099609375	5.298828125	4.701171875	5.201171875	4.900390625	5.25	5.650390625	5.0
1700003F12Rik	6.19921875	6.1015625	6.0	6.19921875	6.30078125	6.1015625	5.8984375	6.19921875	6.19921875	6.1015625	6.19921875	6.1015625	6.30078125	6.1015625	5.8984375	6.19921875	6.0	6.3984375	6.3984375	6.0
1700003H04Rik	3.400390625	3.599609375	3.30078125	3.80078125	3.30078125	3.599609375	3.30078125	3.400390625	3.599609375	3.30078125	3.400390625	3.5	3.5	3.69921875	3.599609375	3.599609375	3.30078125	3.5	3.400390625	3.400390625
1700003O11Rik	5.1015625	4.80078125	5.0	5.1015625	5.1015625	4.69921875	4.80078125	5.1015625	5.19921875	4.8984375	4.80078125	4.80078125	4.80078125	5.1015625	4.69921875	5.19921875	5.0	5.19921875	5.30078125	5.1015625
1700006A11Rik	4.0	3.80078125	3.80078125	4.30078125	4.0	3.80078125	3.900390625	4.1015625	4.19921875	3.900390625	3.80078125	3.69921875	3.80078125	4.0	3.900390625	4.0	3.80078125	3.69921875	4.1015625	3.900390625
1700006E09Rik	4.19921875	4.1015625	4.1015625	4.0	4.0	3.900390625	4.19921875	4.1015625	4.0	4.0	4.0	4.0	4.1015625	4.19921875	4.0	4.1015625	4.1015625	4.19921875	4.1015625	3.900390625
1700006J14Rik	5.0	5.0	4.80078125	4.80078125	4.80078125	4.69921875	5.0	5.0	5.0	4.80078125	5.0	4.80078125	4.8984375	5.1015625	4.8984375	5.1015625	5.0	5.30078125	5.1015625	4.69921875
1700007B14Rik	3.900390625	3.69921875	3.900390625	4.0	4.0	4.1015625	4.0	3.900390625	4.0	3.69921875	4.0	3.900390625	3.599609375	4.1015625	4.19921875	3.80078125	4.0	3.80078125	4.0	4.0
1700007G11Rik	4.6015625	4.5	4.6015625	4.80078125	4.69921875	4.69921875	4.69921875	4.3984375	4.8984375	4.69921875	4.19921875	4.3984375	4.6015625	4.8984375	4.69921875	4.6015625	4.5	4.69921875	4.8984375	4.3984375
1700007K09Rik	4.8984375	4.8984375	4.80078125	4.69921875	4.80078125	5.0	4.6015625	4.69921875	4.80078125	4.69921875	4.6015625	4.80078125	4.80078125	4.80078125	4.6015625	4.5	5.0	4.69921875	4.80078125	4.8984375
1700007K13Rik	5.80078125	5.8984375	5.6015625	5.6015625	5.80078125	5.80078125	5.8984375	5.80078125	5.80078125	5.8984375	5.6015625	6.19921875	5.80078125	5.80078125	6.0	6.1015625	6.1015625	5.8984375	5.8984375	5.8984375
1700008J07Rik	7.80078125	7.80078125	7.69921875	7.5	7.69921875	7.5	7.6015625	7.80078125	7.6015625	7.69921875	7.80078125	7.3984375	7.8984375	7.80078125	7.5	7.69921875	7.69921875	7.80078125	7.6015625	7.69921875
1700008O03Rik	5.6015625	5.69921875	5.5	5.5	5.80078125	5.3984375	5.3984375	5.69921875	5.5	5.5	5.3984375	5.5	5.3984375	5.6015625	5.3984375	5.5	5.5	5.6015625	5.6015625	5.3984375
1700008P02Rik	3.80078125	3.900390625	3.900390625	3.80078125	3.69921875	3.80078125	3.900390625	4.0	4.30078125	4.1015625	3.69921875	3.69921875	3.80078125	4.19921875	3.80078125	4.1015625	3.80078125	3.900390625	4.1015625	3.69921875
1700009J07Rik	4.8984375	4.6015625	4.80078125	4.8984375	5.0	4.6015625	4.69921875	4.8984375	5.30078125	4.8984375	5.0	4.80078125	4.8984375	5.1015625	4.80078125	5.0	4.8984375	4.8984375	5.30078125	4.8984375
1700009N14Rik	4.5	4.30078125	4.6015625	4.69921875	5.0	4.30078125	4.19921875	4.5	4.8984375	4.6015625	4.6015625	4.30078125	4.69921875	4.5	4.5	5.1015625	4.6015625	4.6015625	4.69921875	4.5
1700010B08Rik	5.3984375	5.6015625	5.3984375	5.69921875	5.6015625	5.6015625	5.6015625	5.6015625	5.69921875	5.69921875	5.3984375	5.30078125	5.5	5.5	5.0	5.3984375	5.3984375	5.80078125	5.69921875	5.6015625
1700010H22Rik	4.30078125	4.5	4.0	4.3984375	4.5	4.5	4.19921875	4.3984375	4.80078125	4.30078125	4.19921875	4.0	4.30078125	4.5	4.3984375	4.3984375	4.3984375	4.69921875	4.3984375	4.30078125
1700010I14Rik	4.8984375	5.1015625	5.1015625	5.6015625	5.30078125	5.0	5.30078125	5.5	5.30078125	5.1015625	5.30078125	5.1015625	4.80078125	5.19921875	5.3984375	5.1015625	5.19921875	5.3984375	5.5	5.5
1700010L04Rik	4.3984375	4.3984375	4.30078125	4.3984375	4.19921875	4.69921875	4.5	4.5	4.5	4.5	4.3984375	4.3984375	4.19921875	4.6015625	4.3984375	4.6015625	4.6015625	4.5	4.69921875	4.19921875
1700010L13Rik	7.0	7.1015625	6.8984375	6.80078125	7.1015625	6.80078125	6.80078125	7.1015625	7.1015625	6.80078125	7.0	6.69921875	6.8984375	7.0	6.80078125	7.19921875	7.0	7.19921875	7.19921875	6.80078125
1700011E24Rik	4.6015625	4.5	4.5	4.5	4.5	4.3984375	4.6015625	4.3984375	4.30078125	4.5	4.5	4.3984375	4.3984375	4.69921875	4.69921875	4.3984375	4.6015625	4.3984375	4.3984375	4.69921875
1700011H14Rik	4.19921875	5.0	5.3984375	4.19921875	4.19921875	6.0	5.69921875	4.19921875	4.3984375	3.900390625	4.69921875	6.0	5.0	4.0	5.6015625	4.19921875	4.80078125	4.19921875	4.0	4.5
1700011I03Rik	3.900390625	3.900390625	3.900390625	3.80078125	4.0	4.0	3.900390625	3.80078125	4.30078125	4.19921875	3.80078125	4.0	3.80078125	3.69921875	4.1015625	4.0	3.69921875	4.0	4.0	3.69921875
1700011L22Rik	5.1015625	5.0	4.80078125	5.30078125	5.1015625	4.8984375	4.8984375	5.30078125	5.0	5.0	4.8984375	4.80078125	5.0	5.19921875	5.30078125	5.30078125	4.8984375	5.19921875	5.3984375	4.80078125
1700012A03Rik	4.69921875	4.6015625	4.6015625	4.80078125	5.1015625	4.80078125	4.80078125	4.69921875	5.19921875	4.69921875	4.5	4.69921875	4.6015625	5.0	4.5	5.0	4.5	4.80078125	5.30078125	4.5
1700012B07Rik	4.8984375	4.8984375	4.30078125	4.80078125	4.80078125	4.69921875	4.69921875	4.8984375	4.69921875	4.80078125	4.3984375	4.5	4.6015625	5.1015625	4.5	4.69921875	4.80078125	4.8984375	4.80078125	4.69921875
1700012B09Rik	4.3984375	4.5	4.3984375	4.6015625	4.6015625	4.30078125	4.3984375	4.6015625	4.6015625	4.3984375	4.3984375	4.3984375	4.6015625	4.69921875	4.3984375	4.69921875	4.6015625	4.69921875	4.6015625	4.5
1700012P22Rik	4.5	4.19921875	4.0	4.19921875	3.900390625	4.30078125	4.1015625	4.0	3.900390625	4.30078125	4.0	4.1015625	4.1015625	4.30078125	4.1015625	4.1015625	3.80078125	4.30078125	3.900390625	4.0
1700013D24Rik	5.0	5.30078125	5.0	5.3984375	5.5	5.30078125	5.19921875	5.30078125	5.6015625	5.5	5.1015625	5.1015625	5.1015625	5.3984375	5.1015625	5.5	5.0	5.3984375	5.6015625	5.0
1700013F07Rik	5.30078125	5.1015625	5.69921875	5.5	5.5	5.6015625	5.69921875	5.30078125	5.6015625	5.69921875	5.1015625	5.69921875	5.0	5.69921875	5.6015625	5.69921875	5.30078125	5.5	5.6015625	5.1015625
1700013G24Rik	4.6015625	5.1015625	4.5	4.80078125	4.6015625	4.69921875	4.6015625	4.80078125	5.0	4.6015625	5.1015625	4.5	4.8984375	5.0	4.80078125	4.69921875	4.80078125	4.8984375	5.1015625	4.69921875
1700013H16Rik	3.900390625	3.599609375	3.80078125	3.69921875	4.0	3.80078125	3.599609375	3.5	3.80078125	3.80078125	3.599609375	3.69921875	3.5	3.599609375	3.69921875	3.69921875	3.69921875	3.69921875	3.69921875	3.80078125
1700014B07Rik	7.19921875	7.0	6.69921875	6.80078125	6.5	7.0	6.8984375	6.80078125	6.8984375	6.69921875	6.80078125	6.69921875	6.8984375	7.0	6.80078125	6.80078125	7.0	7.19921875	7.1015625	7.0
1700014D04Rik	5.0	5.0	4.80078125	5.19921875	5.30078125	5.0	4.69921875	5.19921875	5.30078125	5.3984375	5.1015625	4.6015625	4.80078125	5.5	5.0	5.30078125	5.0	5.19921875	5.30078125	4.8984375
1700015E13Rik	5.30078125	5.0	5.30078125	5.0	5.1015625	5.19921875	5.1015625	5.1015625	5.19921875	5.1015625	4.80078125	4.8984375	5.0	5.19921875	5.19921875	5.0	5.0	5.1015625	5.3984375	5.0
1700016A09Rik	7.0	7.0	6.69921875	6.8984375	7.1015625	7.0	6.80078125	7.0	7.0	6.8984375	6.80078125	6.8984375	7.1015625	7.1015625	6.6015625	7.0	7.0	7.19921875	7.19921875	6.69921875
1700016C15Rik	4.6015625	4.5	4.80078125	4.6015625	4.5	4.69921875	4.80078125	4.3984375	4.6015625	4.5	4.5	4.3984375	4.3984375	4.3984375	4.5	4.3984375	4.5	4.6015625	4.6015625	4.3984375
1700016D06Rik	4.1015625	4.1015625	4.1015625	4.19921875	4.3984375	4.0	3.80078125	4.3984375	4.30078125	4.5	4.1015625	4.0	4.1015625	4.19921875	4.0	4.30078125	4.5	4.30078125	4.5	4.3984375
1700016D08Rik	6.0	6.0	5.8984375	5.8984375	6.0	6.1015625	5.80078125	5.8984375	6.1015625	6.0	5.80078125	5.8984375	6.19921875	6.0	5.8984375	5.8984375	6.0	6.0	6.19921875	6.0
1700016H13Rik	4.8984375	4.69921875	4.5	4.69921875	4.6015625	4.69921875	4.6015625	4.69921875	4.69921875	4.69921875	4.69921875	4.3984375	5.0	4.8984375	4.3984375	4.69921875	4.6015625	4.80078125	5.0	4.5
1700016K19Rik	6.0	6.0	6.1015625	6.0	6.0	6.0	6.1015625	6.19921875	6.0	6.0	6.1015625	5.8984375	6.1015625	6.30078125	6.1015625	6.1015625	6.0	6.3984375	6.3984375	6.1015625
1700017B05Rik	7.0	6.8984375	6.3984375	6.30078125	6.5	6.5	6.3984375	6.69921875	6.3984375	6.30078125	6.69921875	6.5	6.69921875	6.69921875	6.5	6.5	6.6015625	6.5	6.6015625	6.69921875
1700017D01Rik	3.5	3.599609375	3.5	3.400390625	3.30078125	3.400390625	3.5	3.30078125	3.30078125	3.30078125	3.30078125	3.30078125	3.30078125	3.5	3.5	3.400390625	3.400390625	3.30078125	3.400390625	3.400390625
